s,0,-0.1,0.73,
j,0.703762,-0.500576,0.176945,1.8062,
j,0.704778,-0.501976,0.177841,1.81894,
j,0.705804,-0.503456,0.178855,1.83137,
j,0.706845,-0.50502,0.180097,1.84339,
j,0.707914,-0.506711,0.181748,1.85505,
j,0.709011,-0.508526,0.183746,1.86615,
j,0.710137,-0.510466,0.186084,1.87657,
j,0.711298,-0.512551,0.188819,1.8864,
j,0.712498,-0.514796,0.191957,1.89569,
j,0.713733,-0.517183,0.195374,1.90454,
j,0.714998,-0.519675,0.198935,1.91301,
j,0.71628,-0.522206,0.202449,1.92097,
j,0.717571,-0.524694,0.205759,1.9283,
j,0.718863,-0.527076,0.208804,1.93495,
j,0.720157,-0.529297,0.211572,1.94091,
j,0.72145,-0.531316,0.214074,1.94624,
j,0.722746,-0.533112,0.216344,1.95114,
j,0.724046,-0.534665,0.218407,1.95569,
j,0.72535,-0.53596,0.220278,1.95982,
j,0.726661,-0.536991,0.221976,1.96351,
j,0.72798,-0.537768,0.223534,1.96696,
j,0.72931,-0.53831,0.224986,1.9704,
j,0.730651,-0.538626,0.226272,1.97431,
j,0.731995,-0.538708,0.22731,1.97897,
j,0.733336,-0.538538,0.228054,1.98418,
j,0.734675,-0.538116,0.228588,1.98949,
j,0.736016,-0.537468,0.229021,1.99456,
j,0.737363,-0.536631,0.229405,1.99924,
j,0.73872,-0.535643,0.229765,2.00347,
j,0.740087,-0.534544,0.230112,2.00726,
j,0.741465,-0.533372,0.23045,2.01064,
j,0.742853,-0.532162,0.230781,2.01364,
j,0.74425,-0.530947,0.231104,2.01629,
j,0.745656,-0.529755,0.231418,2.01865,
j,0.747069,-0.528608,0.231722,2.02074,
j,0.748488,-0.527526,0.232013,2.0226,
j,0.74991,-0.526525,0.23229,2.02426,
j,0.751335,-0.525616,0.232551,2.02574,
j,0.752762,-0.524805,0.232796,2.02706,
j,0.75419,-0.524097,0.233022,2.02824,
j,0.755616,-0.523492,0.233229,2.02931,
j,0.75704,-0.522984,0.233401,2.03009,
j,0.758461,-0.522569,0.233536,2.03058,
j,0.759864,-0.522198,0.233378,2.03058,
j,0.761241,-0.521819,0.232813,2.03015,
j,0.762596,-0.521426,0.232021,2.02953,
j,0.763931,-0.521007,0.231032,2.02868,
j,0.765249,-0.520558,0.229919,2.02766,
j,0.76655,-0.520073,0.228687,2.02661,
j,0.767836,-0.51955,0.227373,2.02543,
j,0.769112,-0.519004,0.226077,2.02414,
j,0.770383,-0.518454,0.22485,2.02284,
j,0.77165,-0.517914,0.223713,2.02162,
j,0.772914,-0.517398,0.222669,2.0205,
j,0.774176,-0.516913,0.221714,2.01948,
j,0.775436,-0.516467,0.220842,2.01857,
j,0.776693,-0.516065,0.220046,2.01776,
j,0.777948,-0.515709,0.219318,2.01705,
j,0.7792,-0.515401,0.218653,2.01642,
j,0.780449,-0.51514,0.218042,2.01587,
j,0.781695,-0.514925,0.217481,2.01539,
j,0.782938,-0.514753,0.216964,2.01497,
j,0.784178,-0.51462,0.216487,2.0146,
j,0.785414,-0.514523,0.216046,2.01428,
j,0.786647,-0.514457,0.215636,2.01401,
j,0.787877,-0.514417,0.215256,2.01377,
