s,0.21,0,0.73,
j,0.591878,-0.0697532,-0.253395,0.488217,
j,0.591766,-0.0717557,-0.253724,0.496947,
j,0.591672,-0.0738973,-0.2539,0.505982,
j,0.591592,-0.0761486,-0.254121,0.515335,
j,0.591509,-0.0785169,-0.254324,0.525167,
j,0.591433,-0.0809946,-0.254414,0.535305,
j,0.591368,-0.0835964,-0.254359,0.545804,
j,0.591319,-0.0863164,-0.254158,0.556565,
j,0.591285,-0.0891701,-0.253795,0.567685,
j,0.591267,-0.0921739,-0.253272,0.579262,
j,0.591265,-0.0952972,-0.252602,0.591045,
j,0.591276,-0.0985311,-0.251787,0.602988,
j,0.591291,-0.10192,-0.250992,0.615735,
j,0.591296,-0.105476,-0.250372,0.629712,
j,0.591278,-0.109204,-0.249961,0.645151,
j,0.591237,-0.113107,-0.249584,0.661887,
j,0.591173,-0.117138,-0.24963,0.680042,
j,0.591064,-0.121264,-0.249955,0.699433,
j,0.590924,-0.125489,-0.250391,0.719798,
j,0.590759,-0.129726,-0.251176,0.740771,
j,0.590559,-0.133959,-0.252099,0.762102,
j,0.590344,-0.138192,-0.252899,0.783315,
j,0.590127,-0.142409,-0.253664,0.804268,
j,0.589907,-0.146622,-0.254347,0.824993,
j,0.589686,-0.15083,-0.25501,0.845547,
j,0.589461,-0.155034,-0.255605,0.865906,
j,0.589241,-0.159217,-0.256029,0.885742,
j,0.589034,-0.163356,-0.256254,0.904759,
j,0.588839,-0.167465,-0.256276,0.923086,
j,0.58866,-0.171539,-0.256111,0.940709,
j,0.588496,-0.175551,-0.255776,0.95748,
j,0.588341,-0.179482,-0.255451,0.973696,
j,0.588185,-0.1833,-0.25515,0.989354,
j,0.588025,-0.187011,-0.254783,1.00449,
j,0.587866,-0.190604,-0.254325,1.01903,
j,0.587707,-0.194086,-0.253773,1.03305,
j,0.587552,-0.197447,-0.253138,1.0465,
j,0.587402,-0.200663,-0.252431,1.0592,
j,0.587255,-0.20372,-0.251666,1.07109,
j,0.58711,-0.20661,-0.250852,1.08216,
j,0.586962,-0.209359,-0.25,1.09269,
j,0.586811,-0.211969,-0.249124,1.10274,
j,0.586659,-0.214425,-0.248234,1.11217,
j,0.586504,-0.216721,-0.247338,1.12095,
j,0.586347,-0.218853,-0.246444,1.12905,
j,0.586186,-0.220824,-0.245556,1.13652,
j,0.58602,-0.222603,-0.244846,1.14344,
j,0.585839,-0.224173,-0.244317,1.14983,
j,0.585642,-0.22555,-0.243868,1.15568,
j,0.585432,-0.22675,-0.243454,1.16099,
j,0.585208,-0.227819,-0.243056,1.16606,
j,0.584974,-0.22878,-0.24267,1.17094,
j,0.584734,-0.229635,-0.242293,1.1755,
j,0.584489,-0.230391,-0.241922,1.17969,
j,0.584237,-0.231054,-0.241719,1.18384,
j,0.583968,-0.231617,-0.241683,1.18796,
j,0.583686,-0.232088,-0.241705,1.19185,
j,0.58339,-0.232471,-0.241902,1.19576,
j,0.583077,-0.232765,-0.242255,1.19967,
j,0.582746,-0.233007,-0.242648,1.20363,
j,0.582404,-0.233219,-0.243031,1.20758,
j,0.582055,-0.23343,-0.243379,1.21158,
j,0.581699,-0.233647,-0.243845,1.21591,
j,0.581334,-0.233848,-0.244426,1.22038,
j,0.580958,-0.234057,-0.245014,1.22496,
j,0.580574,-0.234278,-0.245723,1.22985,
j,0.580179,-0.234488,-0.246535,1.23485,
j,0.579774,-0.234673,-0.247496,1.23997,
j,0.579353,-0.23485,-0.248558,1.24535,
j,0.578922,-0.235029,-0.249599,1.25074,
j,0.578485,-0.235197,-0.250721,1.25618,
j,0.578041,-0.235341,-0.251905,1.26156,
j,0.577593,-0.235428,-0.253198,1.26667,
j,0.577137,-0.235448,-0.254553,1.27139,
j,0.576671,-0.23541,-0.25601,1.27599,
j,0.57619,-0.235307,-0.257682,1.28078,
j,0.575688,-0.235158,-0.259453,1.28586,
j,0.57517,-0.23501,-0.261173,1.29123,
j,0.574645,-0.234898,-0.262778,1.29688,
j,0.57412,-0.234815,-0.264398,1.30286,
j,0.573594,-0.234737,-0.266025,1.30886,
j,0.57307,-0.234665,-0.267556,1.31454,
j,0.572552,-0.234611,-0.268948,1.31977,
j,0.57204,-0.23457,-0.270342,1.32482,
j,0.571524,-0.234557,-0.271748,1.33,
j,0.571006,-0.234562,-0.273228,1.33545,
j,0.57048,-0.234545,-0.274902,1.34125,
j,0.569945,-0.234445,-0.276812,1.3471,
j,0.569392,-0.234271,-0.278813,1.35294,
j,0.568823,-0.234074,-0.280748,1.35888,
j,0.568248,-0.233895,-0.28255,1.36498,
j,0.567671,-0.233747,-0.28435,1.37158,
j,0.567091,-0.233591,-0.286298,1.37873,
j,0.566501,-0.23342,-0.288302,1.38621,
j,0.565904,-0.233267,-0.290222,1.39388,
j,0.565307,-0.233116,-0.292151,1.40169,
j,0.564706,-0.232968,-0.29407,1.4096,
j,0.564101,-0.232831,-0.296032,1.41788,
j,0.563492,-0.232688,-0.297999,1.42625,
j,0.562881,-0.232559,-0.299856,1.43446,
j,0.562276,-0.232457,-0.301556,1.44232,
j,0.561684,-0.232343,-0.303224,1.44961,
j,0.561095,-0.232222,-0.304865,1.4565,
j,0.560509,-0.232117,-0.306393,1.46301,
j,0.55993,-0.232035,-0.307772,1.46897,
j,0.559363,-0.231986,-0.30899,1.47436,
j,0.558808,-0.231979,-0.310049,1.47917,
j,0.558265,-0.232035,-0.310964,1.48375,
j,0.557733,-0.232158,-0.311749,1.48816,
j,0.557217,-0.232337,-0.312412,1.49227,
j,0.556716,-0.232519,-0.313104,1.49603,
j,0.556218,-0.232692,-0.313846,1.49971,
j,0.555717,-0.232878,-0.314565,1.50362,
j,0.55522,-0.233028,-0.31537,1.50761,
j,0.554719,-0.233125,-0.316254,1.51169,
j,0.55421,-0.233193,-0.317128,1.51605,
j,0.5537,-0.233238,-0.317949,1.52047,
j,0.553192,-0.233226,-0.318842,1.52495,
j,0.552679,-0.233155,-0.319811,1.52966,
j,0.55216,-0.233037,-0.320763,1.53437,
j,0.55164,-0.232879,-0.321649,1.53881,
j,0.551124,-0.232664,-0.322597,1.54314,
j,0.5506,-0.232394,-0.323617,1.54761,
j,0.550067,-0.232103,-0.324625,1.55234,
j,0.549531,-0.2318,-0.325576,1.5571,
j,0.548998,-0.231491,-0.326443,1.56158,
j,0.548468,-0.231201,-0.327224,1.56596,
j,0.54794,-0.230956,-0.32793,1.5705,
j,0.547413,-0.230782,-0.328578,1.57561,
j,0.546889,-0.230684,-0.32918,1.58135,
j,0.546369,-0.230654,-0.329735,1.58755,
j,0.545855,-0.230689,-0.330244,1.59409,
j,0.545347,-0.230783,-0.330707,1.6009,
j,0.544841,-0.230945,-0.331138,1.60822,
j,0.544341,-0.231157,-0.331532,1.61575,
j,0.543847,-0.231408,-0.331881,1.62326,
j,0.54336,-0.231686,-0.33218,1.63053,
j,0.542879,-0.231992,-0.332431,1.63757,
j,0.542404,-0.23232,-0.332632,1.64432,
j,0.541934,-0.232669,-0.332791,1.65083,
j,0.541469,-0.233033,-0.332909,1.65706,
j,0.54101,-0.233403,-0.33298,1.66283,
j,0.540555,-0.233782,-0.333015,1.66834,
j,0.540104,-0.234167,-0.333021,1.67362,
j,0.539659,-0.234547,-0.332997,1.67849,
j,0.539217,-0.234927,-0.332951,1.68319,
j,0.538778,-0.2353,-0.332887,1.68774,
j,0.538342,-0.235659,-0.3328,1.69196,
j,0.53791,-0.236,-0.332686,1.6958,
j,0.537478,-0.236328,-0.33256,1.69953,
j,0.537048,-0.23664,-0.332427,1.70318,
j,0.536617,-0.236937,-0.332294,1.70688,
j,0.536188,-0.237212,-0.332163,1.71057,
j,0.535757,-0.237465,-0.332038,1.71433,
j,0.535327,-0.237691,-0.331919,1.7181,
j,0.534892,-0.23794,-0.331671,1.72198,
j,0.534458,-0.238286,-0.331168,1.72622,
j,0.534039,-0.238737,-0.330498,1.73089,
j,0.533634,-0.239304,-0.329642,1.73576,
j,0.533248,-0.239988,-0.328651,1.74077,
j,0.532879,-0.240748,-0.327634,1.74578,
j,0.532518,-0.241599,-0.326492,1.75059,
j,0.53217,-0.242547,-0.325254,1.75536,
j,0.531833,-0.243551,-0.324016,1.76005,
j,0.5315,-0.244629,-0.32269,1.7648,
j,0.531174,-0.245778,-0.321305,1.76983,
j,0.530853,-0.247003,-0.319826,1.77523,
j,0.530543,-0.248285,-0.31828,1.78076,
j,0.530244,-0.249577,-0.316753,1.78607,
j,0.529948,-0.250892,-0.315147,1.79104,
j,0.52965,-0.25233,-0.313228,1.79628,
j,0.52937,-0.253898,-0.311089,1.8018,
j,0.529113,-0.255525,-0.308928,1.8072,
j,0.52887,-0.257159,-0.30683,1.81227,
j,0.528629,-0.258764,-0.30485,1.8172,
j,0.528384,-0.260303,-0.303006,1.822,
j,0.528133,-0.261745,-0.301292,1.82649,
j,0.527872,-0.26307,-0.2997,1.83058,
j,0.5276,-0.264266,-0.298224,1.83426,
j,0.527317,-0.265323,-0.296857,1.83755,
j,0.527021,-0.26624,-0.295593,1.84046,
j,0.526712,-0.267017,-0.294425,1.84302,
j,0.52639,-0.26766,-0.293364,1.84555,
j,0.526058,-0.268124,-0.292546,1.84805,
j,0.525707,-0.268386,-0.29196,1.85034,
j,0.525334,-0.268472,-0.291502,1.85239,
j,0.524942,-0.268407,-0.291123,1.8542,
j,0.524535,-0.268216,-0.290796,1.85576,
j,0.524115,-0.267925,-0.290507,1.85711,
j,0.523684,-0.267557,-0.290246,1.85826,
j,0.523248,-0.267088,-0.290145,1.85919,
j,0.522797,-0.266513,-0.290199,1.85991,
j,0.522329,-0.265867,-0.290316,1.86047,
j,0.521849,-0.265177,-0.290454,1.8609,
j,0.521361,-0.26447,-0.290591,1.86124,
j,0.520867,-0.263765,-0.290716,1.8615,
j,0.520372,-0.263036,-0.290963,1.86164,
j,0.519869,-0.262274,-0.291347,1.86195,
j,0.519355,-0.261498,-0.291781,1.86249,
j,0.518834,-0.260726,-0.292211,1.8631,
j,0.518309,-0.259975,-0.292614,1.86369,
j,0.517784,-0.259262,-0.292993,1.86451,
j,0.517259,-0.258592,-0.293347,1.86557,
j,0.516736,-0.257971,-0.293681,1.86695,
j,0.516216,-0.257401,-0.293993,1.86859,
j,0.5157,-0.256882,-0.294269,1.87025,
j,0.515189,-0.256417,-0.294505,1.87184,
j,0.514683,-0.25601,-0.294699,1.87329,
j,0.514181,-0.255663,-0.294851,1.8746,
j,0.513686,-0.255379,-0.294961,1.87577,
j,0.513195,-0.255155,-0.295033,1.87681,
j,0.51271,-0.254989,-0.295068,1.87773,
j,0.512232,-0.254879,-0.295071,1.87854,
j,0.51176,-0.25482,-0.295047,1.87927,
j,0.511293,-0.254805,-0.294996,1.87991,
j,0.510831,-0.254829,-0.294918,1.88048,
j,0.510375,-0.254885,-0.294817,1.88099,
j,0.509923,-0.254967,-0.294693,1.88144,
j,0.509475,-0.25507,-0.294551,1.88185,
j,0.509031,-0.255186,-0.294391,1.88221,
j,0.508591,-0.255312,-0.294216,1.88254,
j,0.508153,-0.255441,-0.294028,1.88283,
j,0.507719,-0.25557,-0.293829,1.88309,
j,0.507287,-0.255695,-0.293621,1.88333,
j,0.506857,-0.255811,-0.293405,1.88354,
j,0.506429,-0.255918,-0.293184,1.88372,
j,0.506003,-0.256013,-0.292957,1.88389,
j,0.505577,-0.256094,-0.292727,1.88404,
j,0.505153,-0.256161,-0.292495,1.88417,
j,0.504729,-0.256214,-0.29226,1.88428,
j,0.504306,-0.256252,-0.292025,1.88438,
j,0.503883,-0.256276,-0.291788,1.88447,
j,0.50346,-0.256286,-0.291552,1.88454,
j,0.503038,-0.256285,-0.291315,1.88461,
j,0.502616,-0.256274,-0.291079,1.88466,
j,0.502194,-0.256253,-0.290843,1.88471,
j,0.501772,-0.256225,-0.290607,1.88475,
j,0.50135,-0.25619,-0.290372,1.88478,
j,0.500928,-0.25615,-0.290138,1.88481,
j,0.500507,-0.256105,-0.289904,1.88484,
j,0.500085,-0.256058,-0.28967,1.88486,
j,0.499664,-0.256009,-0.289437,1.88487,
j,0.499243,-0.255959,-0.289204,1.88489,
j,0.498822,-0.255909,-0.288972,1.8849,
j,0.498402,-0.255859,-0.288739,1.88491,
j,0.497982,-0.255812,-0.288506,1.88491,
j,0.497562,-0.255766,-0.288273,1.88492,
j,0.497143,-0.255722,-0.28804,1.88493,
j,0.496724,-0.255681,-0.287807,1.88493,
j,0.496306,-0.255643,-0.287574,1.88494,
j,0.495888,-0.255607,-0.28734,1.88494,
j,0.495471,-0.255574,-0.287105,1.88495,
j,0.495054,-0.255544,-0.286871,1.88495,
j,0.494638,-0.255516,-0.286636,1.88496,
j,0.494223,-0.25549,-0.286401,1.88496,
j,0.493808,-0.255467,-0.286165,1.88497,
j,0.493393,-0.255445,-0.285929,1.88497,
j,0.492979,-0.255425,-0.285693,1.88498,
j,0.492566,-0.255406,-0.285457,1.88498,
j,0.492153,-0.255388,-0.285236,1.88526,
j,0.491739,-0.255363,-0.285035,1.88584,
j,0.491326,-0.255328,-0.284843,1.88652,
j,0.490912,-0.255282,-0.284654,1.88722,
j,0.490499,-0.255227,-0.284465,1.88788,
j,0.490085,-0.255164,-0.284275,1.88849,
j,0.489672,-0.255096,-0.284083,1.88904,
j,0.489259,-0.255025,-0.283888,1.88953,
j,0.488846,-0.254954,-0.28369,1.88995,
j,0.488433,-0.254885,-0.28349,1.89033,
j,0.488021,-0.254818,-0.283287,1.89066,
j,0.487609,-0.254757,-0.283081,1.89094,
j,0.487198,-0.2547,-0.282873,1.89119,
j,0.486788,-0.254649,-0.282662,1.89141,
j,0.486378,-0.254605,-0.282449,1.8916,
j,0.485969,-0.254566,-0.282233,1.89177,
j,0.485561,-0.254534,-0.282015,1.89192,
j,0.485153,-0.254508,-0.281795,1.89205,
j,0.484746,-0.254486,-0.281573,1.89217,
j,0.48434,-0.25447,-0.281349,1.89227,
j,0.483935,-0.254457,-0.281123,1.89236,
j,0.483531,-0.254448,-0.280897,1.89244,
j,0.483127,-0.254442,-0.280668,1.89251,
j,0.482724,-0.254437,-0.280439,1.89258,
j,0.482322,-0.254435,-0.280209,1.89264,
j,0.481921,-0.254432,-0.279978,1.89269,
j,0.48152,-0.25443,-0.279747,1.89274,
j,0.481119,-0.254428,-0.279515,1.89278,
j,0.48072,-0.254425,-0.279283,1.89282,
j,0.48032,-0.254422,-0.279051,1.89285,
j,0.479922,-0.254417,-0.278819,1.89288,
j,0.479523,-0.25441,-0.278587,1.89291,
j,0.479126,-0.254402,-0.278355,1.89293,
j,0.478728,-0.254392,-0.278123,1.89295,
j,0.478331,-0.25438,-0.277891,1.89297,
j,0.477935,-0.254367,-0.27766,1.89299,
j,0.477539,-0.254352,-0.277429,1.89301,
j,0.477143,-0.254335,-0.277199,1.89302,
j,0.476747,-0.254317,-0.276969,1.89303,
j,0.476352,-0.254298,-0.276739,1.89304,
j,0.475957,-0.254278,-0.27651,1.89305,
j,0.475563,-0.254257,-0.276281,1.89306,
j,0.475169,-0.254235,-0.276052,1.89307,
j,0.474775,-0.254212,-0.275824,1.89308,
j,0.474382,-0.254189,-0.275596,1.89308,
j,0.473989,-0.254166,-0.275369,1.89309,
j,0.473596,-0.254142,-0.275142,1.8931,
j,0.473204,-0.254119,-0.274915,1.8931,
j,0.472812,-0.254095,-0.274688,1.89311,
j,0.472421,-0.254072,-0.274461,1.89311,
j,0.47203,-0.254049,-0.274235,1.89312,
j,0.471639,-0.254026,-0.274009,1.89312,
j,0.471249,-0.254004,-0.273783,1.89312,
j,0.470859,-0.253981,-0.273558,1.89313,
j,0.47047,-0.25396,-0.273332,1.89313,
j,0.47008,-0.253938,-0.273107,1.89314,
j,0.469692,-0.253917,-0.272882,1.89314,
j,0.469304,-0.253897,-0.272657,1.89314,
j,0.468916,-0.253877,-0.272432,1.89315,
j,0.468528,-0.253857,-0.272208,1.89315,
j,0.468141,-0.253837,-0.271983,1.89316,
j,0.467755,-0.253818,-0.271759,1.89316,
j,0.467369,-0.253798,-0.271535,1.89316,
j,0.466983,-0.253779,-0.271311,1.89317,
j,0.466598,-0.253761,-0.271087,1.89317,
j,0.466213,-0.253742,-0.270864,1.89318,
j,0.465828,-0.253723,-0.27064,1.89318,
j,0.465444,-0.253705,-0.270417,1.89318,
j,0.465061,-0.253686,-0.270194,1.89319,
j,0.464677,-0.253668,-0.269971,1.89319,
j,0.464294,-0.253649,-0.269749,1.8932,
j,0.463912,-0.25363,-0.269526,1.8932,
j,0.46353,-0.253612,-0.269304,1.8932,
j,0.463148,-0.253593,-0.269082,1.89321,
j,0.462767,-0.253575,-0.26886,1.89321,
j,0.462386,-0.253556,-0.268639,1.89321,
j,0.462005,-0.253537,-0.268417,1.89322,
j,0.461625,-0.253519,-0.268196,1.89322,
j,0.461245,-0.2535,-0.267975,1.89323,
j,0.460866,-0.253481,-0.267755,1.89323,
j,0.460487,-0.253462,-0.267534,1.89323,
j,0.460108,-0.253443,-0.267314,1.89324,
j,0.45973,-0.253424,-0.267094,1.89324,
j,0.459352,-0.253406,-0.266874,1.89324,
j,0.458975,-0.253387,-0.266655,1.89325,
j,0.458598,-0.253368,-0.266435,1.89325,
j,0.458221,-0.253349,-0.266216,1.89325,
j,0.457845,-0.25333,-0.265997,1.89326,
j,0.457469,-0.253312,-0.265778,1.89326,
j,0.457094,-0.253293,-0.26556,1.89326,
j,0.456719,-0.253274,-0.265342,1.89327,
j,0.456344,-0.253256,-0.265123,1.89327,
j,0.455969,-0.253237,-0.264906,1.89327,
j,0.455595,-0.253219,-0.264688,1.89328,
j,0.455222,-0.2532,-0.26447,1.89328,
j,0.454849,-0.253182,-0.264253,1.89328,
j,0.454476,-0.253163,-0.264036,1.89329,
