s,-0.1,-0.1,0.7,
j,0.688462,-0.356554,0.478464,1.0876,
j,0.689922,-0.360883,0.479388,1.1037,
j,0.691411,-0.365097,0.480172,1.11946,
j,0.692924,-0.369172,0.480845,1.13478,
j,0.694463,-0.373103,0.4815,1.14965,
j,0.696029,-0.376881,0.482068,1.16405,
j,0.697616,-0.380489,0.482575,1.17789,
j,0.699232,-0.383932,0.483113,1.19124,
j,0.700877,-0.387213,0.483725,1.20411,
j,0.702561,-0.390357,0.484549,1.21666,
j,0.704288,-0.393391,0.485597,1.22902,
j,0.706061,-0.396339,0.486913,1.24128,
j,0.707884,-0.39923,0.488466,1.25361,
j,0.709761,-0.402096,0.490288,1.26616,
j,0.711689,-0.404956,0.492443,1.27896,
j,0.71366,-0.407801,0.494819,1.29183,
j,0.71567,-0.410627,0.497405,1.30471,
j,0.717718,-0.413425,0.500249,1.31751,
j,0.719805,-0.416194,0.503259,1.33025,
j,0.721929,-0.418924,0.506428,1.34289,
j,0.724091,-0.421609,0.509712,1.35546,
j,0.726288,-0.424237,0.513129,1.3679,
j,0.728517,-0.42679,0.516636,1.38012,
j,0.730778,-0.429251,0.520256,1.39208,
j,0.733077,-0.431622,0.52397,1.40388,
j,0.735413,-0.433896,0.527807,1.41552,
j,0.737789,-0.436071,0.531744,1.42706,
j,0.740202,-0.438142,0.535701,1.4385,
j,0.742654,-0.440104,0.539652,1.44986,
j,0.745146,-0.441961,0.543494,1.46128,
j,0.747677,-0.443713,0.547237,1.4728,
j,0.75024,-0.445348,0.550839,1.4843,
j,0.752831,-0.446851,0.554217,1.49566,
j,0.755447,-0.448214,0.557351,1.50684,
j,0.758088,-0.449432,0.560249,1.51779,
j,0.76075,-0.450495,0.562914,1.52839,
j,0.763435,-0.451406,0.565261,1.53866,
j,0.766139,-0.452163,0.567307,1.54858,
j,0.76886,-0.452764,0.569029,1.55805,
j,0.771597,-0.453211,0.570472,1.56707,
j,0.774349,-0.453516,0.571528,1.57567,
j,0.777114,-0.453689,0.572145,1.5839,
j,0.779886,-0.453729,0.572373,1.59166,
j,0.782657,-0.45364,0.572137,1.59887,
j,0.785436,-0.453447,0.571503,1.60574,
j,0.788217,-0.453163,0.570572,1.61232,
j,0.790996,-0.452796,0.569381,1.61845,
