s,0.1,-0.2,0.7,
j,0.768184,-0.194495,0.206605,1.76684,
j,0.768352,-0.19449,0.206491,1.76684,
j,0.76852,-0.194485,0.206376,1.76684,
j,0.768687,-0.19448,0.206262,1.76684,
j,0.768855,-0.194476,0.206148,1.76684,
j,0.769023,-0.194471,0.206034,1.76684,
j,0.76919,-0.194466,0.20592,1.76684,
j,0.769358,-0.194461,0.205807,1.76685,
j,0.769525,-0.194456,0.205693,1.76685,
j,0.769692,-0.194451,0.205579,1.76685,
j,0.769859,-0.194446,0.205465,1.76685,
j,0.770026,-0.194441,0.205352,1.76685,
j,0.770193,-0.194437,0.205238,1.76685,
j,0.770359,-0.194432,0.205125,1.76685,
j,0.770526,-0.194427,0.205012,1.76686,
j,0.770693,-0.194422,0.204898,1.76686,
j,0.770859,-0.194417,0.204785,1.76686,
j,0.771025,-0.194412,0.204672,1.76686,
j,0.771192,-0.194408,0.204559,1.76686,
j,0.771358,-0.194403,0.204446,1.76686,
j,0.771524,-0.194398,0.204333,1.76686,
j,0.77169,-0.194393,0.20422,1.76687,
j,0.771855,-0.194389,0.204107,1.76687,
j,0.772021,-0.194384,0.203994,1.76687,
j,0.772187,-0.194379,0.203882,1.76687,
j,0.772352,-0.194374,0.203769,1.76687,
j,0.772517,-0.194369,0.203657,1.76687,
j,0.772683,-0.194365,0.203544,1.76687,
j,0.772848,-0.19436,0.203432,1.76688,
j,0.773013,-0.194355,0.203319,1.76688,
j,0.773178,-0.19435,0.203207,1.76688,
j,0.773343,-0.194346,0.203095,1.76688,
j,0.773507,-0.194341,0.202983,1.76688,
j,0.773672,-0.194336,0.202871,1.76688,
j,0.773837,-0.194332,0.202759,1.76688,
j,0.774001,-0.194327,0.202647,1.76688,
j,0.774165,-0.194322,0.202535,1.76689,
j,0.77433,-0.194317,0.202423,1.76689,
j,0.774494,-0.194313,0.202312,1.76689,
j,0.774658,-0.194308,0.2022,1.76689,
j,0.774822,-0.194303,0.202088,1.76689,
j,0.774985,-0.194299,0.201977,1.76689,
j,0.775149,-0.194294,0.201866,1.76689,
j,0.775313,-0.194289,0.201754,1.7669,
j,0.775476,-0.194285,0.201643,1.7669,
j,0.77564,-0.19428,0.201532,1.7669,
j,0.775803,-0.194275,0.201421,1.7669,
j,0.775966,-0.194271,0.201309,1.7669,
j,0.776129,-0.194266,0.201198,1.7669,
j,0.776292,-0.194262,0.201087,1.7669,
j,0.776455,-0.194257,0.200977,1.7669,
j,0.776618,-0.194252,0.200866,1.76691,
j,0.77678,-0.194248,0.200755,1.76691,
j,0.776943,-0.194243,0.200644,1.76691,
j,0.777105,-0.194238,0.200534,1.76691,
j,0.777268,-0.194234,0.200423,1.76691,
j,0.77743,-0.194229,0.200313,1.76691,
j,0.777592,-0.194225,0.200202,1.76691,
j,0.777754,-0.19422,0.200092,1.76692,
j,0.777916,-0.194216,0.199982,1.76692,
j,0.778078,-0.194211,0.199871,1.76692,
j,0.77824,-0.194206,0.199761,1.76692,
j,0.778402,-0.194202,0.199651,1.76692,
j,0.778563,-0.194197,0.199541,1.76692,
j,0.778725,-0.194193,0.199431,1.76692,
j,0.778886,-0.194188,0.199321,1.76692,
j,0.779047,-0.194184,0.199212,1.76693,
j,0.779208,-0.194179,0.199102,1.76693,
j,0.779369,-0.194175,0.198992,1.76693,
j,0.77953,-0.19417,0.198883,1.76693,
j,0.779691,-0.194166,0.198773,1.76693,
j,0.779852,-0.194161,0.198664,1.76693,
j,0.780013,-0.194157,0.198554,1.76693,
j,0.780173,-0.194152,0.198445,1.76694,
j,0.780333,-0.194148,0.198336,1.76694,
j,0.780494,-0.194143,0.198226,1.76694,
j,0.780654,-0.194139,0.198117,1.76694,
j,0.780814,-0.194134,0.198008,1.76694,
j,0.780974,-0.19413,0.197899,1.76694,
j,0.781134,-0.194125,0.19779,1.76694,
j,0.781294,-0.194121,0.197681,1.76694,
j,0.781454,-0.194116,0.197573,1.76695,
j,0.781613,-0.194112,0.197464,1.76695,
j,0.781773,-0.194107,0.197355,1.76695,
j,0.781932,-0.194103,0.197247,1.76695,
j,0.782092,-0.194099,0.197138,1.76695,
j,0.782251,-0.194094,0.19703,1.76695,
j,0.78241,-0.19409,0.196921,1.76695,
j,0.782569,-0.194085,0.196813,1.76695,
j,0.782728,-0.194081,0.196705,1.76696,
j,0.782887,-0.194076,0.196596,1.76696,
j,0.783046,-0.194072,0.196488,1.76696,
j,0.783204,-0.194068,0.19638,1.76696,
j,0.783363,-0.194063,0.196272,1.76696,
j,0.783521,-0.194059,0.196164,1.76696,
j,0.78368,-0.194054,0.196056,1.76696,
j,0.783838,-0.19405,0.195949,1.76696,
j,0.783996,-0.194046,0.195841,1.76697,
j,0.784154,-0.194041,0.195733,1.76697,
j,0.784312,-0.194037,0.195625,1.76697,
j,0.78447,-0.194033,0.195518,1.76697,
j,0.784628,-0.194028,0.19541,1.76697,
j,0.784785,-0.194024,0.195303,1.76697,
j,0.784943,-0.19402,0.195196,1.76697,
j,0.7851,-0.194015,0.195088,1.76697,
j,0.785258,-0.194011,0.194981,1.76698,
j,0.785415,-0.194007,0.194874,1.76698,
j,0.785572,-0.194002,0.194767,1.76698,
j,0.785729,-0.193998,0.19466,1.76698,
j,0.785886,-0.193994,0.194553,1.76698,
j,0.786043,-0.193989,0.194446,1.76698,
j,0.7862,-0.193985,0.194339,1.76698,
j,0.786356,-0.193981,0.194232,1.76698,
j,0.786513,-0.193977,0.194126,1.76699,
j,0.786669,-0.193972,0.194019,1.76699,
j,0.786826,-0.193968,0.193912,1.76699,
j,0.786982,-0.193964,0.193806,1.76699,
j,0.787138,-0.193959,0.193699,1.76699,
j,0.787294,-0.193955,0.193593,1.76699,
j,0.78745,-0.193951,0.193487,1.76699,
j,0.787606,-0.193947,0.193381,1.76699,
j,0.787762,-0.193942,0.193274,1.767,
j,0.787918,-0.193938,0.193168,1.767,
j,0.788073,-0.193934,0.193062,1.767,
j,0.788229,-0.19393,0.192956,1.767,
j,0.788384,-0.193925,0.19285,1.767,
j,0.78854,-0.193921,0.192744,1.767,
j,0.788695,-0.193917,0.192639,1.767,
j,0.78885,-0.193913,0.192533,1.767,
j,0.789005,-0.193909,0.192427,1.76701,
j,0.78916,-0.193904,0.192322,1.76701,
j,0.789315,-0.1939,0.192216,1.76701,
j,0.789469,-0.193896,0.192111,1.76701,
j,0.789624,-0.193892,0.192005,1.76701,
j,0.789779,-0.193888,0.1919,1.76701,
j,0.789933,-0.193883,0.191794,1.76701,
j,0.790087,-0.193879,0.191689,1.76701,
j,0.790242,-0.193875,0.191584,1.76702,
j,0.790396,-0.193871,0.191479,1.76702,
j,0.79055,-0.193867,0.191374,1.76702,
j,0.790704,-0.193863,0.191269,1.76702,
j,0.790858,-0.193859,0.191164,1.76702,
j,0.791011,-0.193854,0.191059,1.76702,
j,0.791165,-0.19385,0.190954,1.76702,
j,0.791319,-0.193846,0.19085,1.76702,
j,0.791472,-0.193842,0.190745,1.76703,
j,0.791626,-0.193838,0.19064,1.76703,
j,0.791779,-0.193834,0.190536,1.76703,
j,0.791932,-0.19383,0.190431,1.76703,
j,0.792085,-0.193826,0.190327,1.76703,
j,0.792238,-0.193821,0.190223,1.76703,
j,0.792391,-0.193817,0.190118,1.76703,
j,0.792544,-0.193813,0.190014,1.76703,
j,0.792697,-0.193809,0.18991,1.76703,
j,0.792849,-0.193805,0.189806,1.76704,
j,0.793002,-0.193801,0.189702,1.76704,
j,0.793154,-0.193797,0.189598,1.76704,
j,0.793307,-0.193793,0.189494,1.76704,
j,0.793459,-0.193789,0.18939,1.76704,
j,0.793611,-0.193785,0.189287,1.76704,
j,0.793763,-0.193781,0.189183,1.76704,
j,0.793915,-0.193777,0.189079,1.76704,
j,0.794067,-0.193773,0.188976,1.76705,
j,0.794219,-0.193769,0.188872,1.76705,
j,0.79437,-0.193765,0.188769,1.76705,
j,0.794522,-0.193761,0.188665,1.76705,
j,0.794674,-0.193756,0.188562,1.76705,
j,0.794825,-0.193752,0.188459,1.76705,
j,0.794976,-0.193748,0.188355,1.76705,
j,0.795127,-0.193744,0.188252,1.76705,
j,0.795279,-0.19374,0.188149,1.76705,
j,0.79543,-0.193736,0.188046,1.76706,
j,0.795581,-0.193732,0.187943,1.76706,
j,0.795731,-0.193728,0.18784,1.76706,
j,0.795882,-0.193724,0.187737,1.76706,
j,0.796033,-0.19372,0.187635,1.76706,
j,0.796183,-0.193716,0.187532,1.76706,
j,0.796334,-0.193713,0.187429,1.76706,
j,0.796484,-0.193709,0.187327,1.76706,
j,0.796635,-0.193705,0.187224,1.76706,
j,0.796785,-0.193701,0.187122,1.76707,
j,0.796935,-0.193697,0.187019,1.76707,
j,0.797085,-0.193693,0.186917,1.76707,
j,0.797235,-0.193689,0.186815,1.76707,
j,0.797385,-0.193685,0.186712,1.76707,
j,0.797534,-0.193681,0.18661,1.76707,
j,0.797684,-0.193677,0.186508,1.76707,
j,0.797834,-0.193673,0.186406,1.76707,
j,0.797983,-0.193669,0.186304,1.76708,
j,0.798132,-0.193665,0.186202,1.76708,
j,0.798282,-0.193661,0.1861,1.76708,
j,0.798431,-0.193657,0.185999,1.76708,
j,0.79858,-0.193654,0.185897,1.76708,
j,0.798729,-0.19365,0.185795,1.76708,
j,0.798878,-0.193646,0.185694,1.76708,
j,0.799027,-0.193642,0.185592,1.76708,
j,0.799175,-0.193638,0.185491,1.76708,
j,0.799324,-0.193634,0.185389,1.76709,
j,0.799473,-0.19363,0.185288,1.76709,
j,0.799621,-0.193626,0.185186,1.76709,
j,0.799769,-0.193622,0.185085,1.76709,
j,0.799918,-0.193619,0.184984,1.76709,
j,0.800066,-0.193615,0.184883,1.76709,
j,0.800214,-0.193611,0.184782,1.76709,
j,0.800362,-0.193607,0.184681,1.76709,
j,0.80051,-0.193603,0.18458,1.76709,
j,0.800658,-0.193599,0.184479,1.7671,
j,0.800805,-0.193596,0.184378,1.7671,
j,0.800953,-0.193592,0.184277,1.7671,
j,0.801101,-0.193588,0.184177,1.7671,
j,0.801248,-0.193584,0.184076,1.7671,
j,0.801395,-0.19358,0.183976,1.7671,
j,0.801543,-0.193576,0.183875,1.7671,
j,0.80169,-0.193573,0.183775,1.7671,
j,0.801837,-0.193569,0.183674,1.7671,
j,0.801984,-0.193565,0.183574,1.76711,
j,0.802131,-0.193561,0.183474,1.76711,
j,0.802278,-0.193557,0.183373,1.76711,
j,0.802424,-0.193554,0.183273,1.76711,
j,0.802571,-0.19355,0.183173,1.76711,
j,0.802717,-0.193546,0.183073,1.76711,
j,0.802864,-0.193542,0.182973,1.76711,
j,0.80301,-0.193539,0.182873,1.76711,
j,0.803157,-0.193535,0.182773,1.76711,
j,0.803303,-0.193531,0.182674,1.76711,
j,0.803449,-0.193527,0.182574,1.76712,
j,0.803595,-0.193524,0.182474,1.76712,
j,0.803741,-0.19352,0.182375,1.76712,
j,0.803887,-0.193516,0.182275,1.76712,
j,0.804032,-0.193512,0.182175,1.76712,
j,0.804178,-0.193509,0.182076,1.76712,
j,0.804324,-0.193505,0.181977,1.76712,
j,0.804469,-0.193501,0.181877,1.76712,
j,0.804614,-0.193497,0.181778,1.76712,
j,0.80476,-0.193494,0.181679,1.76713,
j,0.804905,-0.19349,0.18158,1.76713,
j,0.80505,-0.193486,0.181481,1.76713,
j,0.805195,-0.193483,0.181382,1.76713,
j,0.80534,-0.193479,0.181283,1.76713,
j,0.805485,-0.193475,0.181184,1.76713,
j,0.80563,-0.193472,0.181085,1.76713,
j,0.805774,-0.193468,0.180986,1.76713,
j,0.805919,-0.193464,0.180887,1.76713,
j,0.806063,-0.193461,0.180789,1.76714,
j,0.806208,-0.193457,0.18069,1.76714,
j,0.806352,-0.193453,0.180592,1.76714,
j,0.806496,-0.19345,0.180493,1.76714,
j,0.80664,-0.193446,0.180395,1.76714,
j,0.806785,-0.193442,0.180296,1.76714,
j,0.806928,-0.193439,0.180198,1.76714,
j,0.807072,-0.193435,0.1801,1.76714,
j,0.807216,-0.193431,0.180002,1.76714,
j,0.80736,-0.193428,0.179903,1.76714,
j,0.807503,-0.193424,0.179805,1.76715,
j,0.807647,-0.19342,0.179707,1.76715,
j,0.80779,-0.193417,0.179609,1.76715,
j,0.807934,-0.193413,0.179511,1.76715,
j,0.808077,-0.19341,0.179414,1.76715,
j,0.80822,-0.193406,0.179316,1.76715,
j,0.808363,-0.193402,0.179218,1.76715,
j,0.808506,-0.193399,0.17912,1.76715,
j,0.808649,-0.193395,0.179023,1.76715,
j,0.808792,-0.193392,0.178925,1.76716,
j,0.808935,-0.193388,0.178828,1.76716,
j,0.809077,-0.193384,0.17873,1.76716,
j,0.80922,-0.193381,0.178633,1.76716,
j,0.809362,-0.193377,0.178536,1.76716,
j,0.809505,-0.193374,0.178438,1.76716,
j,0.809647,-0.19337,0.178341,1.76716,
j,0.809789,-0.193367,0.178244,1.76716,
j,0.809931,-0.193363,0.178147,1.76716,
j,0.810074,-0.193359,0.17805,1.76716,
j,0.810215,-0.193356,0.177953,1.76717,
j,0.810357,-0.193352,0.177856,1.76717,
j,0.810499,-0.193349,0.177759,1.76717,
j,0.810641,-0.193345,0.177662,1.76717,
j,0.810782,-0.193342,0.177566,1.76717,
j,0.810924,-0.193338,0.177469,1.76717,
j,0.811065,-0.193335,0.177372,1.76717,
j,0.811207,-0.193331,0.177276,1.76717,
j,0.811348,-0.193328,0.177179,1.76717,
j,0.811489,-0.193324,0.177083,1.76717,
j,0.81163,-0.193321,0.176986,1.76718,
j,0.811771,-0.193317,0.17689,1.76718,
j,0.811912,-0.193314,0.176794,1.76718,
j,0.812053,-0.19331,0.176698,1.76718,
j,0.812194,-0.193307,0.176601,1.76718,
j,0.812335,-0.193303,0.176505,1.76718,
j,0.812475,-0.1933,0.176409,1.76718,
j,0.812616,-0.193296,0.176313,1.76718,
j,0.812756,-0.193293,0.176217,1.76718,
j,0.812896,-0.193289,0.176121,1.76718,
j,0.813037,-0.193286,0.176026,1.76719,
j,0.813177,-0.193282,0.17593,1.76719,
j,0.813317,-0.193279,0.175834,1.76719,
j,0.813457,-0.193275,0.175738,1.76719,
j,0.813597,-0.193272,0.175643,1.76719,
j,0.813736,-0.193268,0.175547,1.76719,
j,0.813876,-0.193265,0.175452,1.76719,
j,0.814016,-0.193262,0.175356,1.76719,
j,0.814155,-0.193258,0.175261,1.76719,
j,0.814295,-0.193255,0.175166,1.76719,
j,0.814434,-0.193251,0.17507,1.7672,
j,0.814574,-0.193248,0.174975,1.7672,
j,0.814713,-0.193244,0.17488,1.7672,
j,0.814852,-0.193241,0.174785,1.7672,
j,0.814991,-0.193238,0.17469,1.7672,
j,0.81513,-0.193234,0.174595,1.7672,
j,0.815269,-0.193231,0.1745,1.7672,
j,0.815408,-0.193227,0.174405,1.7672,
j,0.815546,-0.193224,0.17431,1.7672,
j,0.815685,-0.193221,0.174216,1.7672,
j,0.815824,-0.193217,0.174121,1.76721,
j,0.815962,-0.193214,0.174026,1.76721,
j,0.8161,-0.19321,0.173932,1.76721,
j,0.816239,-0.193207,0.173837,1.76721,
j,0.816377,-0.193204,0.173743,1.76721,
j,0.816515,-0.1932,0.173648,1.76721,
j,0.816653,-0.193197,0.173554,1.76721,
j,0.816791,-0.193194,0.17346,1.76721,
j,0.816929,-0.19319,0.173366,1.76721,
j,0.817067,-0.193187,0.173271,1.76721,
j,0.817204,-0.193184,0.173177,1.76722,
j,0.817342,-0.19318,0.173083,1.76722,
j,0.81748,-0.193177,0.172989,1.76722,
j,0.817617,-0.193174,0.172895,1.76722,
j,0.817754,-0.19317,0.172801,1.76722,
j,0.817892,-0.193167,0.172707,1.76722,
j,0.818029,-0.193164,0.172614,1.76722,
j,0.818166,-0.19316,0.17252,1.76722,
j,0.818303,-0.193157,0.172426,1.76722,
j,0.81844,-0.193154,0.172333,1.76722,
j,0.818577,-0.19315,0.172239,1.76722,
j,0.818714,-0.193147,0.172145,1.76723,
j,0.81885,-0.193144,0.172052,1.76723,
j,0.818987,-0.19314,0.171959,1.76723,
j,0.819124,-0.193137,0.171865,1.76723,
j,0.81926,-0.193134,0.171772,1.76723,
j,0.819396,-0.193131,0.171679,1.76723,
j,0.819533,-0.193127,0.171586,1.76723,
j,0.819669,-0.193124,0.171492,1.76723,
j,0.819805,-0.193121,0.171399,1.76723,
j,0.819941,-0.193117,0.171306,1.76723,
j,0.820077,-0.193114,0.171213,1.76724,
j,0.820213,-0.193111,0.17112,1.76724,
j,0.820349,-0.193108,0.171028,1.76724,
j,0.820484,-0.193104,0.170935,1.76724,
j,0.82062,-0.193101,0.170842,1.76724,
j,0.820756,-0.193098,0.170749,1.76724,
j,0.820891,-0.193095,0.170657,1.76724,
j,0.821027,-0.193091,0.170564,1.76724,
j,0.821162,-0.193088,0.170472,1.76724,
j,0.821297,-0.193085,0.170379,1.76724,
j,0.821432,-0.193082,0.170287,1.76724,
j,0.821567,-0.193078,0.170194,1.76725,
j,0.821702,-0.193075,0.170102,1.76725,
j,0.821837,-0.193072,0.17001,1.76725,
j,0.821972,-0.193069,0.169918,1.76725,
j,0.822107,-0.193066,0.169825,1.76725,
j,0.822241,-0.193062,0.169733,1.76725,
j,0.822376,-0.193059,0.169641,1.76725,
j,0.822511,-0.193056,0.169549,1.76725,
j,0.822645,-0.193053,0.169457,1.76725,
j,0.822779,-0.19305,0.169365,1.76725,
j,0.822914,-0.193046,0.169274,1.76725,
j,0.823048,-0.193043,0.169182,1.76726,
j,0.823182,-0.19304,0.16909,1.76726,
j,0.823316,-0.193037,0.168999,1.76726,
j,0.82345,-0.193034,0.168907,1.76726,
j,0.823584,-0.193031,0.168815,1.76726,
j,0.823717,-0.193027,0.168724,1.76726,
j,0.823851,-0.193024,0.168632,1.76726,
j,0.823985,-0.193021,0.168541,1.76726,
j,0.824118,-0.193018,0.16845,1.76726,
j,0.824252,-0.193015,0.168358,1.76726,
j,0.824385,-0.193012,0.168267,1.76726,
j,0.824518,-0.193008,0.168176,1.76727,
j,0.824652,-0.193005,0.168085,1.76727,
j,0.824785,-0.193002,0.167994,1.76727,
j,0.824918,-0.192999,0.167903,1.76727,
j,0.825051,-0.192996,0.167812,1.76727,
j,0.825184,-0.192993,0.167721,1.76727,
j,0.825316,-0.19299,0.16763,1.76727,
j,0.825449,-0.192987,0.167539,1.76727,
j,0.825582,-0.192983,0.167449,1.76727,
j,0.825714,-0.19298,0.167358,1.76727,
j,0.825847,-0.192977,0.167267,1.76727,
j,0.825979,-0.192974,0.167177,1.76728,
j,0.826112,-0.192971,0.167086,1.76728,
j,0.826244,-0.192968,0.166996,1.76728,
j,0.826376,-0.192965,0.166905,1.76728,
j,0.826508,-0.192962,0.166815,1.76728,
j,0.82664,-0.192959,0.166725,1.76728,
j,0.826772,-0.192956,0.166634,1.76728,
j,0.826904,-0.192952,0.166544,1.76728,
j,0.827036,-0.192949,0.166454,1.76728,
j,0.827167,-0.192946,0.166364,1.76728,
j,0.827299,-0.192943,0.166274,1.76728,
j,0.82743,-0.19294,0.166184,1.76729,
j,0.827562,-0.192937,0.166094,1.76729,
j,0.827693,-0.192934,0.166004,1.76729,
j,0.827825,-0.192931,0.165914,1.76729,
j,0.827956,-0.192928,0.165824,1.76729,
j,0.828087,-0.192925,0.165735,1.76729,
j,0.828218,-0.192922,0.165645,1.76729,
j,0.828349,-0.192919,0.165555,1.76729,
j,0.82848,-0.192916,0.165466,1.76729,
j,0.828611,-0.192913,0.165376,1.76729,
j,0.828742,-0.19291,0.165287,1.76729,
j,0.828872,-0.192907,0.165197,1.7673,
j,0.829003,-0.192904,0.165108,1.7673,
j,0.829133,-0.192901,0.165019,1.7673,
j,0.829264,-0.192898,0.164929,1.7673,
j,0.829394,-0.192895,0.16484,1.7673,
j,0.829524,-0.192892,0.164751,1.7673,
j,0.829655,-0.192889,0.164662,1.7673,
j,0.829785,-0.192886,0.164573,1.7673,
j,0.829915,-0.192883,0.164484,1.7673,
j,0.830045,-0.19288,0.164395,1.7673,
j,0.830175,-0.192877,0.164306,1.7673,
j,0.830304,-0.192874,0.164217,1.7673,
j,0.830434,-0.192871,0.164128,1.76731,
j,0.830564,-0.192868,0.16404,1.76731,
j,0.830693,-0.192865,0.163951,1.76731,
j,0.830823,-0.192862,0.163862,1.76731,
j,0.830952,-0.192859,0.163774,1.76731,
j,0.831082,-0.192856,0.163685,1.76731,
j,0.831211,-0.192853,0.163597,1.76731,
j,0.83134,-0.19285,0.163508,1.76731,
j,0.831469,-0.192847,0.16342,1.76731,
j,0.831598,-0.192844,0.163332,1.76731,
j,0.831727,-0.192841,0.163243,1.76731,
j,0.831856,-0.192838,0.163155,1.76731,
j,0.831985,-0.192835,0.163067,1.76732,
j,0.832114,-0.192832,0.162979,1.76732,
j,0.832242,-0.192829,0.162891,1.76732,
j,0.832371,-0.192826,0.162803,1.76732,
j,0.832499,-0.192823,0.162715,1.76732,
j,0.832628,-0.19282,0.162627,1.76732,
j,0.832756,-0.192818,0.162539,1.76732,
j,0.832884,-0.192815,0.162451,1.76732,
j,0.833013,-0.192812,0.162364,1.76732,
j,0.833141,-0.192809,0.162276,1.76732,
j,0.833269,-0.192806,0.162188,1.76732,
j,0.833397,-0.192803,0.162101,1.76732,
j,0.833525,-0.1928,0.162013,1.76733,
j,0.833652,-0.192797,0.161926,1.76733,
j,0.83378,-0.192794,0.161838,1.76733,
j,0.833908,-0.192791,0.161751,1.76733,
j,0.834035,-0.192788,0.161664,1.76733,
j,0.834163,-0.192786,0.161576,1.76733,
j,0.83429,-0.192783,0.161489,1.76733,
j,0.834418,-0.19278,0.161402,1.76733,
j,0.834545,-0.192777,0.161315,1.76733,
j,0.834672,-0.192774,0.161228,1.76733,
j,0.834799,-0.192771,0.161141,1.76733,
j,0.834926,-0.192768,0.161054,1.76733,
j,0.835053,-0.192766,0.160967,1.76734,
j,0.83518,-0.192763,0.16088,1.76734,
j,0.835307,-0.19276,0.160793,1.76734,
j,0.835434,-0.192757,0.160706,1.76734,
j,0.835561,-0.192754,0.160619,1.76734,
j,0.835687,-0.192751,0.160533,1.76734,
j,0.835814,-0.192748,0.160446,1.76734,
j,0.83594,-0.192746,0.16036,1.76734,
j,0.836066,-0.192743,0.160273,1.76734,
j,0.836193,-0.19274,0.160187,1.76734,
j,0.836319,-0.192737,0.1601,1.76734,
j,0.836445,-0.192734,0.160014,1.76734,
j,0.836571,-0.192731,0.159927,1.76735,
j,0.836697,-0.192729,0.159841,1.76735,
j,0.836823,-0.192726,0.159755,1.76735,
j,0.836949,-0.192723,0.159669,1.76735,
j,0.837075,-0.19272,0.159583,1.76735,
j,0.8372,-0.192717,0.159497,1.76735,
j,0.837326,-0.192715,0.159411,1.76735,
j,0.837452,-0.192712,0.159325,1.76735,
j,0.837577,-0.192709,0.159239,1.76735,
j,0.837702,-0.192706,0.159153,1.76735,
j,0.837828,-0.192703,0.159067,1.76735,
j,0.837953,-0.192701,0.158981,1.76735,
j,0.838078,-0.192698,0.158896,1.76736
