s,0.1,-0.2,0.7,
j,0.668092,-0.25561,0.175517,1.53639,
j,0.668411,-0.25608,0.175812,1.54397,
j,0.668724,-0.256608,0.176052,1.55117,
j,0.669032,-0.257188,0.17624,1.558,
j,0.669334,-0.257804,0.176378,1.56429,
j,0.66963,-0.258446,0.176469,1.57002,
j,0.669922,-0.259105,0.176515,1.57519,
j,0.670208,-0.259772,0.176524,1.57985,
j,0.67049,-0.260395,0.176593,1.58402,
j,0.670774,-0.260943,0.176729,1.58774,
j,0.671063,-0.261376,0.176969,1.59104,
j,0.671358,-0.261678,0.177294,1.59395,
j,0.671663,-0.261835,0.177733,1.59674,
j,0.671978,-0.261798,0.178352,1.59945,
j,0.672307,-0.261565,0.179077,1.60192,
j,0.672648,-0.261175,0.179813,1.6041,
j,0.672995,-0.260582,0.180702,1.60596,
j,0.673356,-0.259771,0.181733,1.6075,
j,0.673731,-0.258759,0.182871,1.60873,
j,0.67412,-0.257588,0.184065,1.60992,
j,0.674519,-0.256277,0.185327,1.6111,
j,0.674928,-0.254805,0.186709,1.61213,
j,0.67535,-0.253161,0.188231,1.61294,
j,0.675786,-0.25131,0.189991,1.61375,
j,0.676245,-0.24924,0.191994,1.61479,
j,0.67673,-0.246983,0.19418,1.61642,
j,0.677237,-0.244505,0.196599,1.61841,
j,0.677769,-0.241839,0.199133,1.62057,
j,0.678319,-0.239052,0.201702,1.62295,
j,0.678882,-0.236201,0.20423,1.62535,
j,0.679448,-0.233326,0.20671,1.6275,
j,0.680017,-0.230442,0.209199,1.62953,
j,0.680588,-0.227559,0.211719,1.63144,
j,0.681165,-0.224684,0.21428,1.63332,
j,0.681746,-0.221821,0.21688,1.63511,
j,0.682332,-0.218967,0.219511,1.63664,
j,0.682921,-0.216124,0.222166,1.63785,
j,0.683515,-0.213302,0.224847,1.63896,
j,0.684113,-0.210553,0.227469,1.64028,
j,0.684707,-0.20794,0.22994,1.6417,
j,0.685289,-0.205509,0.232215,1.64304,
j,0.685852,-0.203253,0.234368,1.6442,
j,0.686398,-0.201177,0.236401,1.64516,
j,0.686928,-0.199314,0.238266,1.64594,
j,0.687439,-0.197685,0.23995,1.64658,
j,0.687926,-0.196303,0.241452,1.64711,
j,0.68839,-0.19517,0.242779,1.64756,
j,0.68883,-0.194281,0.243942,1.64796,
j,0.689246,-0.193624,0.244952,1.64834,
j,0.689639,-0.193183,0.24582,1.6487,
j,0.690011,-0.192938,0.246559,1.64906,
j,0.690363,-0.192864,0.247181,1.64943,
j,0.690695,-0.192938,0.247696,1.6498,
j,0.69101,-0.193134,0.248116,1.65019,
