s,-0.21,0,0.73,
j,0.638923,-0.358664,0.0918918,0.819856,
j,0.639213,-0.367233,0.0903136,0.84708,
j,0.639504,-0.375629,0.088722,0.873819,
j,0.639797,-0.383806,0.0871293,0.899944,
j,0.640092,-0.391725,0.085547,0.925339,
j,0.640387,-0.399348,0.0839856,0.949901,
j,0.640683,-0.406642,0.0824542,0.973544,
j,0.64098,-0.413582,0.0809611,0.996195,
j,0.64128,-0.420195,0.079516,1.01809,
j,0.641582,-0.426504,0.0781577,1.03913,
j,0.641887,-0.432513,0.0769173,1.05901,
j,0.642194,-0.438222,0.0757706,1.07774,
j,0.642504,-0.443657,0.0747216,1.09544,
j,0.642817,-0.44885,0.0737888,1.11207,
j,0.643133,-0.453813,0.0729742,1.12755,
j,0.643451,-0.458542,0.0722434,1.14199,
j,0.643772,-0.463034,0.0715636,1.15565,
j,0.644097,-0.467345,0.0709857,1.16858,
j,0.644425,-0.47149,0.0705,1.18075,
j,0.644757,-0.475479,0.070093,1.19227,
j,0.645095,-0.479376,0.0698075,1.20315,
j,0.645439,-0.483234,0.0696722,1.21323,
j,0.64579,-0.48711,0.0696882,1.22255,
j,0.646149,-0.491066,0.0698509,1.23129,
j,0.646514,-0.495098,0.07012,1.2395,
j,0.646886,-0.499211,0.0704865,1.24725,
j,0.647264,-0.50339,0.0709293,1.25458,
j,0.647647,-0.507629,0.0714491,1.26153,
j,0.648039,-0.511958,0.0720634,1.26819,
j,0.648442,-0.516444,0.0728086,1.27471,
j,0.648857,-0.521149,0.0737114,1.28107,
j,0.649285,-0.526101,0.074773,1.28719,
j,0.649725,-0.531321,0.0759568,1.29332,
j,0.65018,-0.536859,0.0772866,1.29955,
j,0.650652,-0.542784,0.0788033,1.30585,
j,0.651142,-0.549121,0.0804829,1.31232,
j,0.651648,-0.555857,0.0823157,1.3188,
j,0.652173,-0.563028,0.0843141,1.32541,
j,0.652718,-0.570655,0.0864762,1.33223,
j,0.653281,-0.578679,0.0887263,1.33941,
j,0.653864,-0.587066,0.0910577,1.34705,
j,0.654465,-0.595759,0.093438,1.35518,
j,0.65508,-0.604618,0.0958052,1.36365,
j,0.655709,-0.613506,0.0981333,1.3722,
j,0.656351,-0.622333,0.100449,1.38059,
j,0.657006,-0.630979,0.102689,1.3889,
j,0.657673,-0.639309,0.104804,1.3972,
j,0.658352,-0.647208,0.106801,1.40526,
j,0.659045,-0.654601,0.108696,1.41299,
j,0.659757,-0.661459,0.11051,1.42044,
j,0.66049,-0.667768,0.112291,1.42736,
j,0.661243,-0.673513,0.114047,1.43358,
j,0.662019,-0.678682,0.115767,1.43908,
j,0.662819,-0.683306,0.117458,1.44401,
j,0.663649,-0.687437,0.119134,1.44858,
j,0.664505,-0.691082,0.120763,1.45282,
j,0.665391,-0.694292,0.122388,1.45668,
j,0.666309,-0.697132,0.124038,1.46007,
j,0.667259,-0.699656,0.125705,1.46309,
j,0.668243,-0.701935,0.127393,1.46591,
j,0.669259,-0.704007,0.129096,1.46847,
j,0.670309,-0.705942,0.130852,1.47072,
j,0.67139,-0.707767,0.132621,1.47273,
j,0.672505,-0.70955,0.134426,1.4747,
j,0.673654,-0.711345,0.136278,1.47661,
j,0.674831,-0.713145,0.138117,1.47855,
j,0.676038,-0.714961,0.139938,1.48064,
j,0.677269,-0.716774,0.141717,1.4828,
j,0.678526,-0.718576,0.143465,1.48502,
j,0.679806,-0.720352,0.145172,1.48727,
j,0.681105,-0.722055,0.146807,1.48946,
j,0.682427,-0.723693,0.14841,1.49164,
j,0.683774,-0.725288,0.150024,1.49368,
j,0.685142,-0.726822,0.151622,1.49556,
j,0.686534,-0.72831,0.153218,1.49736,
j,0.687951,-0.729778,0.154813,1.49929,
j,0.689395,-0.731249,0.156422,1.50138,
j,0.690868,-0.732762,0.158047,1.50386,
j,0.692364,-0.734292,0.159646,1.50666,
j,0.693887,-0.735858,0.161257,1.50975,
j,0.69544,-0.737503,0.162921,1.51309,
j,0.697027,-0.739296,0.164702,1.51664,
j,0.698644,-0.741253,0.166589,1.5202,
j,0.700293,-0.743408,0.168598,1.52376,
j,0.701976,-0.745817,0.170725,1.52757,
j,0.703686,-0.748446,0.172913,1.5315,
j,0.705417,-0.751225,0.175087,1.53552,
j,0.707168,-0.754115,0.177276,1.53942,
j,0.708938,-0.757079,0.179461,1.54323,
j,0.710728,-0.760065,0.18159,1.54717,
j,0.71254,-0.763045,0.183693,1.55123,
j,0.714374,-0.765992,0.185766,1.55544,
j,0.716234,-0.768884,0.187834,1.55975,
j,0.718118,-0.771704,0.18989,1.56417,
j,0.72003,-0.774441,0.191955,1.56865,
j,0.721976,-0.777132,0.194082,1.57328,
j,0.723959,-0.779806,0.196255,1.57826,
j,0.725981,-0.782482,0.198485,1.58366,
j,0.728041,-0.785175,0.200757,1.58953,
j,0.730137,-0.787873,0.20307,1.59568,
j,0.732265,-0.790546,0.205393,1.60194,
j,0.734424,-0.793178,0.207735,1.60819,
j,0.736615,-0.795755,0.210082,1.61439,
j,0.738839,-0.798271,0.212417,1.62074,
j,0.7411,-0.800734,0.214779,1.62719,
j,0.743395,-0.803131,0.217158,1.63362,
j,0.745723,-0.805437,0.219518,1.64004,
j,0.748082,-0.807631,0.22185,1.64646,
j,0.750474,-0.809697,0.224153,1.65286,
j,0.752902,-0.811648,0.226486,1.65914,
j,0.755364,-0.813471,0.228837,1.66514,
j,0.757859,-0.815152,0.231177,1.6709,
j,0.760389,-0.816694,0.233508,1.67656,
j,0.762956,-0.818103,0.235835,1.68217,
j,0.765556,-0.819363,0.238145,1.6876,
j,0.768191,-0.82047,0.240444,1.69287,
j,0.770867,-0.821465,0.242805,1.69797,
j,0.773592,-0.822404,0.245295,1.70289,
j,0.776359,-0.823291,0.247863,1.70755,
j,0.779163,-0.824122,0.250492,1.7118,
j,0.782007,-0.824912,0.253212,1.71553,
j,0.784892,-0.825679,0.255995,1.71896,
j,0.787822,-0.826456,0.258863,1.72227,
j,0.790797,-0.827259,0.261841,1.72536,
j,0.793819,-0.828112,0.264943,1.72824,
j,0.796886,-0.829025,0.268124,1.73112,
j,0.799994,-0.829983,0.271363,1.73391,
j,0.803138,-0.830953,0.274614,1.73651,
j,0.806311,-0.831889,0.277819,1.73892,
j,0.809513,-0.832753,0.280959,1.74113,
j,0.812744,-0.833511,0.284032,1.74317,
j,0.81601,-0.834159,0.28711,1.74494,
j,0.819312,-0.834695,0.290203,1.74645,
j,0.822649,-0.835103,0.293277,1.74776,
j,0.826025,-0.835389,0.29639,1.74883,
j,0.829447,-0.835582,0.299608,1.74959,
j,0.832912,-0.835689,0.302893,1.75012,
j,0.836417,-0.835699,0.306183,1.75051,
j,0.83996,-0.835602,0.309456,1.75082,
j,0.843541,-0.835391,0.312707,1.75106,
j,0.847162,-0.83506,0.315936,1.75126,
j,0.850823,-0.834608,0.319149,1.75142,
j,0.854524,-0.834036,0.322353,1.75155,
j,0.858267,-0.833347,0.325553,1.75164,
j,0.862051,-0.832548,0.328754,1.75171,
j,0.865878,-0.831646,0.331962,1.75174,
j,0.869743,-0.830629,0.335106,1.75184,
j,0.873646,-0.829492,0.338189,1.752,
j,0.877591,-0.828247,0.341266,1.75217,
j,0.881573,-0.826892,0.344284,1.7524,
j,0.885588,-0.825407,0.347179,1.75278,
j,0.889641,-0.823798,0.349959,1.75349,
j,0.893741,-0.822104,0.35273,1.75461,
j,0.897889,-0.820354,0.355508,1.75621,
j,0.902088,-0.818578,0.358329,1.75827,
j,0.906334,-0.816799,0.361175,1.76079,
j,0.910621,-0.815019,0.363984,1.7638,
j,0.914945,-0.813235,0.366782,1.76707,
j,0.91931,-0.811473,0.369642,1.77046,
j,0.923721,-0.80977,0.372558,1.77427,
j,0.928177,-0.808147,0.375543,1.77852,
j,0.932677,-0.806621,0.378629,1.78306,
j,0.937218,-0.805206,0.381826,1.78781,
j,0.941798,-0.803911,0.385128,1.79273,
j,0.946421,-0.802758,0.388615,1.79771,
j,0.951097,-0.8018,0.392454,1.80257,
j,0.955828,-0.801076,0.396665,1.80727,
j,0.960613,-0.800616,0.401273,1.81178,
j,0.965451,-0.800437,0.406235,1.81612,
j,0.970341,-0.800544,0.41155,1.82029,
j,0.975279,-0.80093,0.417166,1.82432,
j,0.980267,-0.801581,0.423085,1.8282,
j,0.985301,-0.802474,0.429314,1.83171,
j,0.990378,-0.803572,0.435766,1.83492,
j,0.995489,-0.804814,0.442324,1.83783,
j,1.00063,-0.806146,0.44895,1.84052,
j,1.00582,-0.807509,0.455617,1.84297,
j,1.01104,-0.808855,0.462333,1.84524,
j,1.0163,-0.810136,0.469093,1.84729,
j,1.02159,-0.811281,0.475777,1.84909,
j,1.02692,-0.812236,0.482385,1.85061,
j,1.03229,-0.812965,0.488994,1.85178,
j,1.03771,-0.813431,0.495546,1.85265,
j,1.04319,-0.813608,0.50207,1.85325,
j,1.04871,-0.813474,0.508552,1.85362,
j,1.05431,-0.813036,0.515083,1.85391,
j,1.05998,-0.812307,0.52176,1.85411,
j,1.06573,-0.811284,0.528494,1.85417,
j,1.07155,-0.809956,0.535188,1.85416,
j,1.07744,-0.808318,0.541814,1.85409,
j,1.0834,-0.806369,0.548371,1.85397,
j,1.08944,-0.804114,0.554871,1.85381,
j,1.09557,-0.801562,0.561331,1.85362,
j,1.10177,-0.798719,0.567657,1.85347,
j,1.10804,-0.795581,0.573753,1.85347,
j,1.11438,-0.792133,0.579547,1.85347,
j,1.12079,-0.788363,0.584996,1.85334,
j,1.12726,-0.784281,0.590155,1.85313,
j,1.1338,-0.7799,0.595044,1.85284,
j,1.1404,-0.775221,0.599543,1.85245,
j,1.14706,-0.770254,0.603666,1.8519,
j,1.15379,-0.765042,0.607676,1.85122,
j,1.1606,-0.759646,0.611674,1.85055,
j,1.16748,-0.754123,0.615749,1.84994,
j,1.17445,-0.748536,0.620002,1.84937,
j,1.18149,-0.742941,0.624462,1.84884,
j,1.18859,-0.737389,0.629125,1.84834,
j,1.19575,-0.731922,0.633972,1.8479,
j,1.20295,-0.726571,0.638977,1.8475,
j,1.2102,-0.721362,0.644115,1.84716,
j,1.21748,-0.716312,0.64936,1.84688,
j,1.22479,-0.711431,0.654686,1.84665,
j,1.23212,-0.706721,0.660073,1.84648,
j,1.23946,-0.702181,0.6655,1.84637,
j,1.2468,-0.697804,0.670951,1.84631,
j,1.25415,-0.693581,0.676412,1.8463,
j,1.2615,-0.689497,0.681871,1.84632,
j,1.26884,-0.685538,0.687318,1.84638,
j,1.27617,-0.681684,0.692616,1.84654,
j,1.28349,-0.677907,0.697631,1.84688,
j,1.2908,-0.674177,0.702314,1.84742,
j,1.29808,-0.670466,0.706658,1.84815,
j,1.30535,-0.666751,0.710673,1.84907,
j,1.3126,-0.663016,0.71451,1.85008,
j,1.31984,-0.659251,0.718058,1.85124,
j,1.32707,-0.655445,0.721248,1.85257,
j,1.33427,-0.651588,0.724148,1.85405,
j,1.34147,-0.647676,0.726532,1.85577,
j,1.34864,-0.643697,0.728291,1.85781,
j,1.35579,-0.639645,0.729486,1.86012,
j,1.36293,-0.635518,0.73003,1.86273,
j,1.37003,-0.631318,0.729965,1.86563,
j,1.37712,-0.627053,0.729413,1.86874,
j,1.38417,-0.622741,0.728031,1.87222,
j,1.39118,-0.618387,0.725721,1.87611,
j,1.39815,-0.613998,0.722775,1.88025,
j,1.40507,-0.6096,0.719285,1.88458,
j,1.41194,-0.605221,0.715493,1.88898,
j,1.41876,-0.6009,0.711673,1.8933,
j,1.42551,-0.596683,0.70807,1.89743,
j,1.4322,-0.592619,0.704712,1.90134,
j,1.43883,-0.588751,0.701501,1.9051,
j,1.44539,-0.585104,0.698329,1.90855,
j,1.45187,-0.581696,0.695149,1.91171,
j,1.45827,-0.578542,0.6921,1.91465,
j,1.46458,-0.575654,0.688985,1.91732,
j,1.47081,-0.573028,0.685695,1.91979,
j,1.47694,-0.57066,0.682436,1.9221,
j,1.48299,-0.568545,0.679376,1.92426,
j,1.48895,-0.566681,0.676568,1.92628,
j,1.49483,-0.56506,0.673879,1.92822,
j,1.50062,-0.563666,0.671291,1.93009,
j,1.50632,-0.562479,0.668877,1.93188,
j,1.51195,-0.561478,0.666656,1.93356,
j,1.51749,-0.560642,0.664625,1.93513,
j,1.52296,-0.55995,0.662773,1.9366,
j,1.52836,-0.559375,0.661085,1.93798,
j,1.53369,-0.558895,0.65955,1.93926,
j,1.53895,-0.558484,0.658154,1.94045,
j,1.54415,-0.558119,0.656889,1.94155,
j,1.5493,-0.557777,0.655747,1.94257,
j,1.55439,-0.557437,0.65472,1.94351,
j,1.55943,-0.557081,0.653804,1.94438,
j,1.56443,-0.55669,0.652995,1.94518,
j,1.56938,-0.556251,0.652289,1.94591,
j,1.5743,-0.555751,0.651684,1.94658,
j,1.57918,-0.555181,0.651177,1.94719,
j,1.58403,-0.554533,0.650766,1.94774,
j,1.58886,-0.553801,0.650449,1.94824,
j,1.59366,-0.552983,0.650222,1.94869,
j,1.59844,-0.552077,0.650084,1.9491,
j,1.60319,-0.551085,0.650031,1.94946,
j,1.60793,-0.550009,0.650056,1.94979,
j,1.61266,-0.548852,0.650157,1.95008,
j,1.61737,-0.547619,0.650333,1.95034,
j,1.62207,-0.546316,0.650579,1.95058,
j,1.62675,-0.544949,0.650894,1.95078,
j,1.63143,-0.543524,0.651272,1.95097,
j,1.63609,-0.542049,0.651709,1.95113,
j,1.64074,-0.540531,0.6522,1.95128,
j,1.64538,-0.538976,0.65274,1.95141,
j,1.65001,-0.537392,0.653325,1.95153,
j,1.65463,-0.535784,0.653949,1.95163,
j,1.65925,-0.534161,0.654609,1.95173,
j,1.66385,-0.532526,0.655299,1.95182,
j,1.66843,-0.530886,0.656016,1.95191,
j,1.67301,-0.529246,0.656754,1.95198,
j,1.67757,-0.527608,0.65751,1.95206,
j,1.68213,-0.525978,0.658279,1.95213,
j,1.68667,-0.524357,0.659059,1.9522,
j,1.69119,-0.522749,0.659846,1.95226,
j,1.6957,-0.521156,0.660636,1.95233,
j,1.7002,-0.519578,0.661428,1.95239,
j,1.70468,-0.518017,0.662218,1.95246,
j,1.70915,-0.516474,0.663005,1.95252,
j,1.7136,-0.514949,0.663785,1.95258,
j,1.71804,-0.513442,0.664559,1.95265,
j,1.72246,-0.511952,0.665323,1.95271,
j,1.72686,-0.510478,0.666077,1.95277,
j,1.73125,-0.509022,0.66682,1.95284,
j,1.73562,-0.50758,0.66755,1.9529,
j,1.73997,-0.506153,0.668268,1.95296,
j,1.74431,-0.50474,0.668972,1.95302,
j,1.74863,-0.503339,0.669662,1.95308,
j,1.75294,-0.501949,0.670337,1.95315,
j,1.75723,-0.500571,0.670998,1.95321,
j,1.7615,-0.499202,0.671645,1.95327,
j,1.76576,-0.497841,0.672277,1.95332,
j,1.77,-0.496489,0.672894,1.95338,
j,1.77422,-0.495145,0.673496,1.95344,
j,1.77843,-0.493807,0.674084,1.9535,
j,1.78262,-0.492476,0.674657,1.95355,
j,1.7868,-0.491151,0.675215,1.95361,
j,1.79096,-0.489832,0.675759,1.95366,
j,1.7951,-0.488518,0.676289,1.95372,
j,1.79923,-0.48721,0.676805,1.95377,
j,1.80334,-0.485908,0.677306,1.95382,
j,1.80744,-0.484611,0.677793,1.95387,
j,1.81152,-0.483319,0.678266,1.95392,
j,1.81559,-0.482034,0.678726,1.95397,
j,1.81964,-0.480754,0.679171,1.95402,
j,1.82367,-0.47948,0.679602,1.95407,
j,1.82769,-0.478213,0.680019,1.95412,
j,1.83169,-0.476953,0.680422,1.95417,
j,1.83568,-0.4757,0.680811,1.95422,
j,1.83965,-0.474454,0.681187,1.95427,
j,1.84361,-0.473215,0.681548,1.95431,
j,1.84755,-0.471984,0.681895,1.95436,
j,1.85147,-0.470762,0.682228,1.95441,
j,1.85538,-0.469547,0.682546,1.95446,
j,1.85928,-0.468341,0.682851,1.95451,
j,1.86316,-0.467144,0.683141,1.95456,
j,1.86702,-0.465956,0.683418,1.9546,
j,1.87087,-0.464776,0.68368,1.95465,
j,1.8747,-0.463606,0.683928,1.9547,
j,1.87851,-0.462444,0.684162,1.95475,
j,1.88231,-0.461292,0.684381,1.9548,
j,1.8861,-0.460149,0.684587,1.95485,
j,1.88987,-0.459016,0.684779,1.9549,
j,1.89362,-0.457891,0.684957,1.95495,
j,1.89736,-0.456776,0.685121,1.955,
j,1.90108,-0.45567,0.685271,1.95505,
j,1.90479,-0.454574,0.685408,1.9551,
j,1.90848,-0.453486,0.685531,1.95515,
j,1.91215,-0.452407,0.68564,1.9552,
j,1.91581,-0.451338,0.685737,1.95526,
j,1.91945,-0.450277,0.68582,1.95531,
j,1.92308,-0.449225,0.68589,1.95536,
j,1.9267,-0.448181,0.685948,1.95541,
j,1.93029,-0.447146,0.685993,1.95546,
j,1.93388,-0.44612,0.686025,1.95552,
j,1.93744,-0.445101,0.686045,1.95557,
j,1.94099,-0.444092,0.686053,1.95562,
j,1.94453,-0.443089,0.686052,1.95567,
j,1.94805,-0.442095,0.686044,1.95572,
j,1.95156,-0.441108,0.686025,1.95578,
