s,0,0,0.7,
j,0.633076,-0.0513546,-0.00610531,0.249988,
j,0.633076,-0.05149,-0.00610466,0.249988,
j,0.633076,-0.0516159,-0.00610401,0.249988,
j,0.633076,-0.0517317,-0.00610337,0.249988,
j,0.633076,-0.0518369,-0.00610272,0.249988,
j,0.633076,-0.051931,-0.00610208,0.249988,
j,0.633076,-0.0520137,-0.00610143,0.249988,
j,0.633076,-0.0520847,-0.00610078,0.249988,
j,0.633076,-0.0521436,-0.00610014,0.249988,
j,0.633076,-0.0521904,-0.00609949,0.249988,
j,0.633076,-0.0522248,-0.00609884,0.249988,
j,0.633076,-0.0522468,-0.0060982,0.249988,
j,0.633076,-0.0522565,-0.00609755,0.249988,
j,0.633076,-0.0522542,-0.0060969,0.249988,
j,0.633076,-0.0522405,-0.00609625,0.249988,
j,0.633076,-0.0522153,-0.0060956,0.249988,
j,0.633076,-0.052179,-0.00609495,0.249988,
j,0.633076,-0.0521319,-0.0060943,0.249988,
j,0.633076,-0.0520743,-0.00609365,0.249988,
j,0.633076,-0.0520066,-0.006093,0.249988,
j,0.633076,-0.0519293,-0.00609235,0.249988,
j,0.633076,-0.0518429,-0.00609169,0.249988,
j,0.633076,-0.0517478,-0.00609104,0.249988,
j,0.633076,-0.0516448,-0.00609039,0.249988,
j,0.633076,-0.0515343,-0.00608973,0.249988,
j,0.633076,-0.0514171,-0.00608908,0.249988,
j,0.633076,-0.0512938,-0.00608842,0.249988,
j,0.633076,-0.0511651,-0.00608777,0.249988,
j,0.633076,-0.0510317,-0.00608711,0.249988,
j,0.633076,-0.0508944,-0.00608645,0.249988,
j,0.633076,-0.050754,-0.0060858,0.249988,
j,0.633076,-0.0506111,-0.00608514,0.249988,
j,0.633076,-0.0504666,-0.00608448,0.249988,
j,0.633076,-0.0503212,-0.00608382,0.249988,
j,0.633076,-0.0501757,-0.00608316,0.249988,
j,0.633076,-0.0500309,-0.0060825,0.249988,
j,0.633076,-0.0498874,-0.00608184,0.249988,
j,0.633076,-0.0497461,-0.00608118,0.249988,
j,0.633076,-0.0496076,-0.00608052,0.249988,
j,0.633076,-0.0494727,-0.00607986,0.249988,
j,0.633076,-0.049342,-0.0060792,0.249988,
j,0.633076,-0.0492161,-0.00607854,0.249988,
j,0.633076,-0.0490956,-0.00607787,0.249988,
j,0.633076,-0.0489812,-0.00607721,0.249988,
j,0.633076,-0.0488734,-0.00607655,0.249988,
j,0.633076,-0.0487726,-0.00607589,0.249988,
j,0.633076,-0.0486793,-0.00607522,0.249988,
j,0.633076,-0.048594,-0.00607456,0.249988,
j,0.633076,-0.048517,-0.0060739,0.249988,
j,0.633076,-0.0484486,-0.00607324,0.249988,
j,0.633076,-0.048389,-0.00607258,0.249988,
j,0.633076,-0.0483386,-0.00607191,0.249988,
j,0.633076,-0.0482975,-0.00607125,0.249988,
j,0.633076,-0.0482658,-0.00607059,0.249988,
j,0.633076,-0.0482436,-0.00606993,0.249988,
j,0.633076,-0.0482309,-0.00606927,0.249988,
j,0.633076,-0.0482276,-0.00606861,0.249988,
