s,0.11,0.1,0.73,
j,0.633077,-0.0512177,-0.00614313,0.249988,
j,0.633077,-0.0509779,-0.00614247,0.249988,
j,0.633077,-0.0507354,-0.0061418,0.249988,
j,0.633077,-0.0504916,-0.00614113,0.249988,
j,0.633077,-0.0502478,-0.00614047,0.249988,
j,0.633077,-0.0500052,-0.0061398,0.249988,
j,0.633077,-0.0497651,-0.00613913,0.249988,
j,0.633077,-0.0495286,-0.00613846,0.249988,
j,0.633077,-0.0492971,-0.00613779,0.249988,
j,0.633077,-0.0490716,-0.00613712,0.249988,
j,0.633076,-0.0488533,-0.00613645,0.249988,
j,0.633076,-0.0486432,-0.00613577,0.249988,
j,0.633076,-0.0484424,-0.0061351,0.249988,
j,0.633076,-0.0482518,-0.00613443,0.249988,
j,0.633076,-0.0480722,-0.00613376,0.249988,
j,0.633076,-0.0479046,-0.00613308,0.249988,
j,0.633076,-0.0477497,-0.00613241,0.249988,
j,0.633076,-0.0476081,-0.00613174,0.249988,
j,0.633076,-0.0474805,-0.00613106,0.249988,
j,0.633076,-0.0473674,-0.00613039,0.249988,
j,0.633076,-0.0472693,-0.00612972,0.249988,
j,0.633076,-0.0471865,-0.00612904,0.249988,
j,0.633076,-0.0471192,-0.00612837,0.249988,
j,0.633076,-0.0470678,-0.0061277,0.249988,
j,0.633076,-0.0470323,-0.00612703,0.249988,
j,0.633076,-0.0470127,-0.00612636,0.249988,
j,0.633076,-0.0470089,-0.00612569,0.249988,
j,0.633076,-0.0470202,-0.00612502,0.249988,
j,0.633076,-0.0470464,-0.00612435,0.249988,
j,0.633076,-0.0470873,-0.00612368,0.249988,
j,0.633076,-0.0471425,-0.00612301,0.249988,
j,0.633076,-0.0472115,-0.00612235,0.249988,
j,0.633076,-0.0472939,-0.00612168,0.249988,
j,0.633076,-0.0473891,-0.00612102,0.249988,
j,0.633076,-0.0474965,-0.00612036,0.249988,
j,0.633076,-0.0476154,-0.00611969,0.249988,
j,0.633076,-0.0477451,-0.00611903,0.249988,
j,0.633076,-0.0478848,-0.00611837,0.249988,
j,0.633076,-0.0480337,-0.00611771,0.249988,
j,0.633076,-0.048191,-0.00611705,0.249988,
j,0.633076,-0.0483556,-0.00611639,0.249988,
j,0.633076,-0.0485267,-0.00611573,0.249988,
j,0.633076,-0.0487034,-0.00611508,0.249988,
j,0.633076,-0.0488847,-0.00611442,0.249988,
j,0.633076,-0.0490695,-0.00611376,0.249988,
j,0.633076,-0.0492569,-0.00611311,0.249988,
j,0.633076,-0.0494459,-0.00611246,0.249988,
j,0.633076,-0.0496354,-0.0061118,0.249988,
j,0.633076,-0.0498246,-0.00611115,0.249988,
j,0.633076,-0.0500124,-0.0061105,0.249988,
j,0.633076,-0.0501978,-0.00610985,0.249988,
j,0.633076,-0.0503799,-0.0061092,0.249988,
j,0.633076,-0.0505578,-0.00610855,0.249988,
j,0.633076,-0.0507306,-0.0061079,0.249988,
j,0.633076,-0.0508975,-0.00610725,0.249988,
j,0.633076,-0.0510576,-0.0061066,0.249988,
j,0.633076,-0.0512102,-0.00610596,0.249988,
j,0.633076,-0.0513546,-0.00610531,0.249988,
j,0.633076,-0.05149,-0.00610466,0.249988,
j,0.633076,-0.0516159,-0.00610401,0.249988,
j,0.633076,-0.0517317,-0.00610337,0.249988,
j,0.633076,-0.0518369,-0.00610272,0.249988,
j,0.633076,-0.051931,-0.00610208,0.249988,
j,0.633076,-0.0520137,-0.00610143,0.249988,
j,0.633076,-0.0520847,-0.00610078,0.249988,
j,0.633076,-0.0521436,-0.00610014,0.249988,
j,0.633076,-0.0521904,-0.00609949,0.249988,
j,0.633076,-0.0522248,-0.00609884,0.249988,
j,0.633076,-0.0522468,-0.0060982,0.249988,
j,0.633076,-0.0522565,-0.00609755,0.249988,
j,0.633076,-0.0522542,-0.0060969,0.249988,
j,0.633076,-0.0522405,-0.00609625,0.249988,
j,0.633076,-0.0522153,-0.0060956,0.249988,
j,0.633076,-0.052179,-0.00609495,0.249988,
j,0.633076,-0.0521319,-0.0060943,0.249988,
j,0.633076,-0.0520743,-0.00609365,0.249988,
j,0.633076,-0.0520066,-0.006093,0.249988,
j,0.633076,-0.0519391,-0.00609238,0.249988,
j,0.633076,-0.0518806,-0.0060918,0.249988,
j,0.633061,-0.0518773,-0.00648957,0.249986,
j,0.632994,-0.0520017,-0.0074914,0.249985,
j,0.632848,-0.0523243,-0.00931883,0.249984,
j,0.632616,-0.0528568,-0.0116554,0.249985,
j,0.632332,-0.0535188,-0.0140929,0.249991,
j,0.632038,-0.0541977,-0.0162913,0.249995,
j,0.631762,-0.0548262,-0.0183319,0.249997,
j,0.631502,-0.0553817,-0.0203052,0.249998,
j,0.631253,-0.0558522,-0.0222241,0.249999,
j,0.631013,-0.0562289,-0.0240923,0.249999,
j,0.630789,-0.0565021,-0.0257063,0.250092,
j,0.630595,-0.0566626,-0.0269649,0.250389,
j,0.630435,-0.0567049,-0.0280688,0.250776,
j,0.630293,-0.0566435,-0.0291274,0.251163,
j,0.63016,-0.0564943,-0.0301568,0.251485,
j,0.630031,-0.056279,-0.0311601,0.251748,
j,0.629899,-0.0560236,-0.0323453,0.251853,
j,0.629751,-0.0557539,-0.0336093,0.251792,
j,0.629596,-0.0554918,-0.0348562,0.251695,
j,0.629439,-0.0552479,-0.0360739,0.251602,
j,0.629284,-0.0550244,-0.0372611,0.251499,
j,0.629132,-0.0548236,-0.0384176,0.251387,
j,0.628983,-0.0546472,-0.0395441,0.251269,
j,0.628837,-0.0544959,-0.040641,0.251151,
j,0.628695,-0.05437,-0.0417089,0.25104,
j,0.628548,-0.0542768,-0.042956,0.250856,
j,0.628387,-0.054227,-0.0442783,0.250621,
j,0.62822,-0.0542194,-0.04558,0.250406,
j,0.628045,-0.0542645,-0.0470563,0.250219,
j,0.627855,-0.0543698,-0.0486015,0.250095,
j,0.627636,-0.0545829,-0.0507388,0.249987,
j,0.62731,-0.055104,-0.054596,0.249994,
j,0.62682,-0.0559895,-0.0595644,0.249997,
j,0.626206,-0.0572209,-0.0653553,0.249998,
j,0.625495,-0.0587673,-0.0717853,0.250008,
j,0.624722,-0.0605975,-0.0785169,0.250311,
j,0.623915,-0.0626911,-0.0856272,0.251098,
j,0.623069,-0.0650407,-0.0934122,0.252341,
j,0.622178,-0.0676483,-0.101763,0.254132,
j,0.621252,-0.0704937,-0.110574,0.256509,
j,0.620308,-0.0735486,-0.119609,0.259577,
j,0.619369,-0.0767756,-0.128748,0.263424,
j,0.618442,-0.0801377,-0.138193,0.267924,
j,0.617525,-0.0836018,-0.147614,0.273109,
j,0.616634,-0.0871298,-0.157235,0.278862,
j,0.615758,-0.0907008,-0.167035,0.285063,
j,0.614898,-0.0942996,-0.176915,0.29173,
j,0.614062,-0.0978941,-0.186633,0.298856,
j,0.613255,-0.101469,-0.196513,0.30634,
j,0.612463,-0.10503,-0.206551,0.314107,
j,0.611683,-0.108564,-0.216642,0.322087,
j,0.610921,-0.112046,-0.226536,0.330257,
j,0.610185,-0.115465,-0.236322,0.338613,
j,0.60947,-0.118819,-0.246109,0.347088,
j,0.608771,-0.122102,-0.255671,0.355702,
j,0.608095,-0.125301,-0.265106,0.364375,
j,0.607357,-0.128105,-0.269654,0.372193,
j,0.606771,-0.130284,-0.272555,0.378214,
j,0.606255,-0.132042,-0.276004,0.382962,
j,0.605752,-0.133509,-0.280018,0.387087,
j,0.605233,-0.134786,-0.28442,0.390989,
j,0.604693,-0.135928,-0.289084,0.394817,
j,0.604133,-0.136969,-0.293851,0.398651,
j,0.603555,-0.137936,-0.298688,0.402476,
j,0.602959,-0.138875,-0.303677,0.406407,
j,0.602335,-0.13986,-0.308885,0.410697,
j,0.601683,-0.140926,-0.314227,0.415351,
j,0.601012,-0.142067,-0.319576,0.420266,
j,0.600323,-0.143302,-0.325003,0.425489,
j,0.599618,-0.144647,-0.330386,0.431093,
j,0.598902,-0.146088,-0.335736,0.436913,
j,0.598158,-0.147643,-0.341505,0.442731,
j,0.597381,-0.149364,-0.347303,0.448932,
j,0.596591,-0.151259,-0.353187,0.455532,
j,0.595799,-0.153358,-0.359283,0.462808,
j,0.594995,-0.15565,-0.36527,0.470672,
j,0.5942,-0.158168,-0.371466,0.479443,
j,0.593405,-0.160923,-0.37758,0.489217,
j,0.592625,-0.163963,-0.38422,0.500181,
j,0.591843,-0.167329,-0.391423,0.512357,
j,0.591039,-0.171042,-0.398123,0.525189,
j,0.590289,-0.174725,-0.398133,0.536124,
j,0.589689,-0.178584,-0.396854,0.5478,
j,0.589145,-0.182845,-0.395023,0.560221,
j,0.588646,-0.187381,-0.393527,0.573381,
j,0.588164,-0.192091,-0.392584,0.587118,
j,0.587674,-0.19693,-0.392303,0.601389,
j,0.587163,-0.201867,-0.392724,0.616161,
j,0.586665,-0.20647,-0.391588,0.629146,
j,0.58622,-0.21058,-0.39004,0.640204,
j,0.585738,-0.214395,-0.388374,0.650797,
j,0.585243,-0.21791,-0.386734,0.661001,
j,0.584708,-0.2212,-0.385129,0.671006,
j,0.584143,-0.224317,-0.383929,0.680949,
j,0.583538,-0.227296,-0.382801,0.690783,
j,0.582894,-0.230178,-0.381774,0.700551,
j,0.582222,-0.233008,-0.381199,0.710419,
j,0.581514,-0.235774,-0.380228,0.720133,
j,0.580786,-0.238516,-0.379384,0.729962,
j,0.580032,-0.241248,-0.378601,0.739789,
j,0.579264,-0.243961,-0.378043,0.749559,
j,0.578464,-0.246661,-0.377187,0.759157,
j,0.577641,-0.249397,-0.376528,0.768887,
j,0.576788,-0.252167,-0.375655,0.778694,
j,0.575927,-0.254989,-0.375138,0.788671,
j,0.575038,-0.257847,-0.374558,0.7986,
j,0.574118,-0.260822,-0.374389,0.809005,
j,0.573162,-0.26393,-0.374229,0.819941,
j,0.572181,-0.267148,-0.374154,0.83117,
j,0.57117,-0.27051,-0.374306,0.842833,
j,0.570136,-0.274069,-0.375121,0.85535,
j,0.569079,-0.277939,-0.377459,0.869448,
j,0.568001,-0.282185,-0.381292,0.885395,
j,0.56691,-0.286812,-0.386721,0.903094,
j,0.565797,-0.291783,-0.393241,0.922056,
j,0.564657,-0.297002,-0.399758,0.941571,
j,0.563514,-0.30235,-0.405959,0.961015,
j,0.562354,-0.307801,-0.411868,0.980495,
j,0.561177,-0.313323,-0.417512,1.00002,
j,0.559973,-0.318902,-0.422919,1.01972,
j,0.558747,-0.324498,-0.428116,1.03949,
j,0.5575,-0.33007,-0.433124,1.05919,
j,0.556233,-0.335573,-0.437966,1.07868,
j,0.554941,-0.340979,-0.442469,1.09796,
j,0.553641,-0.346222,-0.446469,1.11676,
j,0.552338,-0.35124,-0.44993,1.13486,
j,0.551026,-0.356008,-0.452881,1.1523,
j,0.54971,-0.360481,-0.455555,1.16886,
j,0.548387,-0.364622,-0.457987,1.18433,
j,0.547053,-0.36841,-0.460096,1.19866,
j,0.545707,-0.371832,-0.461877,1.21184,
j,0.544337,-0.374908,-0.463365,1.22412,
j,0.542943,-0.377649,-0.464601,1.23555,
j,0.54153,-0.380053,-0.465613,1.24606,
j,0.540097,-0.382129,-0.466433,1.25565,
j,0.538643,-0.383893,-0.46709,1.26433,
j,0.537158,-0.385388,-0.467624,1.27238,
j,0.535644,-0.386643,-0.46806,1.27987,
j,0.534098,-0.387696,-0.468422,1.28694,
j,0.532526,-0.388574,-0.468534,1.29363,
j,0.53094,-0.389279,-0.468403,1.29982,
j,0.529343,-0.389824,-0.468156,1.30546,
j,0.527734,-0.390229,-0.467855,1.31055,
j,0.526102,-0.390537,-0.467541,1.31535,
j,0.524451,-0.390775,-0.467231,1.3199,
j,0.522787,-0.390951,-0.466921,1.32413,
j,0.521113,-0.391076,-0.466607,1.32799,
j,0.519431,-0.391161,-0.466289,1.3315,
j,0.517742,-0.391215,-0.465964,1.33468,
j,0.516048,-0.391246,-0.465634,1.33756,
j,0.514349,-0.391262,-0.465298,1.34017,
j,0.512638,-0.39129,-0.464971,1.34275,
j,0.510911,-0.391362,-0.464669,1.34556,
j,0.50917,-0.391502,-0.464206,1.34877,
j,0.507423,-0.391718,-0.463584,1.3524,
j,0.505671,-0.392014,-0.462922,1.35645,
j,0.503907,-0.392419,-0.462284,1.3611,
j,0.502117,-0.392986,-0.461718,1.36681,
j,0.500302,-0.393741,-0.461233,1.37365,
j,0.49848,-0.394662,-0.460798,1.38127,
j,0.496651,-0.395742,-0.460395,1.38955,
j,0.494829,-0.396943,-0.45999,1.39809,
j,0.493015,-0.398232,-0.459559,1.40664,
j,0.491206,-0.399598,-0.459102,1.41521,
j,0.489398,-0.401026,-0.458806,1.42377,
j,0.487583,-0.402508,-0.458676,1.43233,
j,0.485762,-0.404032,-0.458591,1.44091,
j,0.483936,-0.405587,-0.458498,1.4495,
j,0.482107,-0.407158,-0.458377,1.4581,
j,0.480275,-0.40873,-0.458222,1.4667,
j,0.478448,-0.410271,-0.458019,1.47507,
j,0.476624,-0.411766,-0.45777,1.48319,
j,0.474796,-0.413216,-0.457494,1.4912,
j,0.472962,-0.414617,-0.457204,1.49915,
j,0.471121,-0.415968,-0.45691,1.50709,
j,0.46928,-0.417248,-0.456601,1.5148,
j,0.467437,-0.41845,-0.456279,1.52227,
j,0.465592,-0.419567,-0.455942,1.52941,
j,0.463749,-0.420582,-0.455579,1.53607,
j,0.461901,-0.421504,-0.455208,1.54239,
j,0.460048,-0.422335,-0.454833,1.54841,
j,0.458187,-0.423084,-0.454467,1.5542,
j,0.456313,-0.423769,-0.454131,1.55998,
j,0.454433,-0.424386,-0.453813,1.56562,
j,0.452544,-0.424943,-0.453516,1.57113,
j,0.45065,-0.425439,-0.453232,1.57647,
j,0.448749,-0.425883,-0.452966,1.58168,
j,0.446837,-0.426294,-0.452735,1.58695,
j,0.444912,-0.426683,-0.452544,1.59235,
j,0.442964,-0.427093,-0.452439,1.59838,
j,0.440987,-0.427572,-0.452282,1.60555,
j,0.438987,-0.428142,-0.452089,1.61406,
j,0.436974,-0.428796,-0.451958,1.62368,
j,0.434961,-0.429506,-0.451892,1.63389,
j,0.432952,-0.430246,-0.451866,1.64425,
j,0.430947,-0.431,-0.451864,1.65455,
j,0.428949,-0.431745,-0.451856,1.66447,
j,0.426956,-0.432472,-0.451835,1.67394,
j,0.424962,-0.433182,-0.451816,1.6831,
j,0.422965,-0.433875,-0.451806,1.69204,
j,0.420966,-0.434552,-0.451627,1.70083,
j,0.418963,-0.435215,-0.451488,1.70969,
j,0.416953,-0.435862,-0.451517,1.71864,
j,0.414938,-0.436485,-0.451634,1.72756,
j,0.412913,-0.437088,-0.451827,1.73661,
j,0.410881,-0.437668,-0.452083,1.74578,
j,0.408845,-0.438213,-0.452376,1.75492,
j,0.406803,-0.438727,-0.452721,1.76418,
j,0.404758,-0.439194,-0.453087,1.77331,
j,0.402716,-0.43961,-0.453269,1.78217,
j,0.400679,-0.439973,-0.453275,1.79085,
j,0.39865,-0.44027,-0.453202,1.79913,
j,0.396624,-0.440501,-0.453107,1.80701,
j,0.394596,-0.440674,-0.453035,1.81467,
j,0.392564,-0.440795,-0.453008,1.82219,
j,0.39053,-0.440859,-0.453004,1.82939,
j,0.388498,-0.440863,-0.452997,1.83607,
j,0.386463,-0.440816,-0.452998,1.84237,
j,0.384425,-0.440724,-0.453005,1.84831,
j,0.382387,-0.440585,-0.453002,1.85376,
j,0.380349,-0.440402,-0.452982,1.85869,
j,0.378312,-0.440182,-0.452939,1.86311,
j,0.376274,-0.439928,-0.452873,1.86705,
j,0.374237,-0.439648,-0.452783,1.87055,
j,0.3722,-0.439345,-0.452672,1.87366,
j,0.370163,-0.439026,-0.452542,1.87642,
j,0.368128,-0.438694,-0.452394,1.87886,
j,0.366094,-0.438354,-0.452229,1.88102,
j,0.364061,-0.438008,-0.45205,1.88294,
j,0.362031,-0.43766,-0.451858,1.88463,
j,0.360004,-0.437312,-0.451653,1.88614,
j,0.35798,-0.436965,-0.451436,1.88747,
j,0.355959,-0.436622,-0.451209,1.88865,
j,0.353939,-0.436289,-0.451003,1.88992,
j,0.351921,-0.435966,-0.45082,1.89132,
j,0.349906,-0.435649,-0.450642,1.89271,
j,0.347894,-0.435341,-0.450489,1.89425,
j,0.345884,-0.435041,-0.45036,1.89592,
j,0.343879,-0.434744,-0.450233,1.89758,
j,0.341879,-0.434446,-0.450097,1.89915,
j,0.339882,-0.434153,-0.449979,1.90081,
j,0.337887,-0.433862,-0.449878,1.90258,
j,0.335896,-0.433571,-0.449775,1.90431,
j,0.333911,-0.433275,-0.44966,1.90593,
j,0.33193,-0.432976,-0.44953,1.90742,
j,0.329953,-0.432673,-0.449382,1.90877,
j,0.327981,-0.432366,-0.449218,1.90998,
j,0.326013,-0.432057,-0.449038,1.91107,
j,0.324046,-0.43175,-0.448873,1.91225,
j,0.322084,-0.431454,-0.448542,1.91361,
j,0.320133,-0.431163,-0.448024,1.91502,
j,0.318194,-0.430872,-0.447431,1.91637,
j,0.316263,-0.430583,-0.446849,1.91785,
j,0.314338,-0.430297,-0.446304,1.91946,
j,0.312419,-0.430009,-0.445785,1.92105,
j,0.310505,-0.429719,-0.445287,1.92255,
j,0.308595,-0.429427,-0.444805,1.92393,
j,0.30669,-0.429135,-0.444335,1.92518,
j,0.304788,-0.428844,-0.443877,1.9263,
j,0.30289,-0.428555,-0.443428,1.92731,
j,0.300997,-0.428277,-0.442801,1.92825,
j,0.299956,-0.428055,-0.442247,1.92906,
j,0.299986,-0.427931,-0.441851,1.92977,
j,0.299988,-0.42785,-0.441362,1.93044,
j,0.299989,-0.427817,-0.440669,1.93111,
j,0.299989,-0.427828,-0.439798,1.93177,
j,0.299989,-0.427874,-0.438885,1.9324,
j,0.299989,-0.42795,-0.437992,1.93297,
j,0.299989,-0.428052,-0.437144,1.9335,
j,0.299989,-0.428177,-0.43635,1.93398,
j,0.299989,-0.428321,-0.435612,1.93442,
j,0.299989,-0.428487,-0.434741,1.93485,
j,0.299989,-0.428673,-0.433729,1.9353,
j,0.299989,-0.428869,-0.432698,1.93572,
j,0.299989,-0.42907,-0.431702,1.93611,
j,0.299989,-0.429272,-0.430762,1.93648,
j,0.299989,-0.429473,-0.429887,1.93681,
j,0.299989,-0.429671,-0.429078,1.93711,
j,0.299989,-0.429863,-0.428332,1.93739,
j,0.299989,-0.430048,-0.427645,1.93763,
j,0.299989,-0.430224,-0.427014,1.93785,
j,0.299989,-0.430391,-0.426434,1.93806,
j,0.299989,-0.430546,-0.425901,1.93824,
j,0.299989,-0.43069,-0.425412,1.9384,
j,0.299989,-0.430821,-0.424964,1.93854,
j,0.299989,-0.43094,-0.424553,1.93867,
j,0.299989,-0.43105,-0.424207,1.93901,
j,0.299989,-0.431151,-0.423927,1.93958,
j,0.299989,-0.431243,-0.423719,1.94045,
j,0.299989,-0.431323,-0.423574,1.94157,
j,0.299989,-0.431386,-0.423465,1.94276,
j,0.299989,-0.431436,-0.42341,1.94413,
j,0.299989,-0.431471,-0.423401,1.94566,
j,0.299989,-0.431494,-0.423442,1.94742,
j,0.299989,-0.431503,-0.423525,1.94934,
j,0.299989,-0.431496,-0.423627,1.95124,
j,0.299989,-0.431473,-0.423735,1.95302,
j,0.299989,-0.431437,-0.423842,1.95466,
j,0.299989,-0.431389,-0.423945,1.95613,
j,0.299989,-0.431334,-0.424044,1.95745,
j,0.299989,-0.431273,-0.424137,1.95863,
j,0.299989,-0.431213,-0.424256,1.95989,
j,0.299989,-0.431155,-0.424402,1.96127,
j,0.299989,-0.431097,-0.424557,1.96264,
j,0.299989,-0.431038,-0.424709,1.96394,
j,0.299989,-0.430982,-0.424885,1.96534,
j,0.299989,-0.430929,-0.425087,1.96688,
j,0.299989,-0.430876,-0.425292,1.96839,
j,0.299989,-0.430822,-0.42549,1.96982,
j,0.299989,-0.430768,-0.425678,1.97113,
j,0.299989,-0.430715,-0.425853,1.97231,
j,0.299989,-0.430664,-0.426015,1.97337,
j,0.299989,-0.430616,-0.426165,1.97432,
j,0.299989,-0.430572,-0.426301,1.97515,
j,0.299989,-0.430533,-0.426426,1.9759,
j,0.299989,-0.430498,-0.426541,1.97655,
j,0.299989,-0.430469,-0.426644,1.97713,
j,0.299989,-0.430446,-0.426739,1.97765,
j,0.299989,-0.430428,-0.426824,1.9781,
j,0.299989,-0.430415,-0.426901,1.9785,
j,0.299989,-0.430407,-0.42697,1.97886,
j,0.299989,-0.430404,-0.427032,1.97917,
j,0.299989,-0.430404,-0.427088,1.97945,
j,0.299989,-0.430407,-0.427139,1.97969,
j,0.299989,-0.430412,-0.427184,1.97991,
j,0.299989,-0.430419,-0.427224,1.9801,
j,0.299989,-0.430427,-0.427259,1.98027,
j,0.299989,-0.430437,-0.427291,1.98042,
j,0.299989,-0.430447,-0.427319,1.98055,
j,0.299989,-0.430458,-0.427344,1.98067,
j,0.299989,-0.430468,-0.427366,1.98077,
j,0.299989,-0.430479,-0.427386,1.98086,
j,0.299989,-0.430489,-0.427403,1.98094,
j,0.299989,-0.430498,-0.427418,1.98102,
j,0.299989,-0.430506,-0.427432,1.98108,
j,0.299989,-0.430514,-0.427444,1.98113,
j,0.299989,-0.43052,-0.427455,1.98118,
j,0.299989,-0.430525,-0.427464,1.98123,
j,0.299989,-0.43053,-0.427473,1.98126,
j,0.299989,-0.430533,-0.427481,1.9813,
j,0.299989,-0.430536,-0.427488,1.98133,
j,0.299989,-0.430537,-0.427495,1.98135,
j,0.299989,-0.430538,-0.427501,1.98137,
j,0.299989,-0.430538,-0.427506,1.98139,
j,0.299989,-0.430538,-0.427511,1.98141,
j,0.299989,-0.430538,-0.427515,1.98143,
j,0.299989,-0.430538,-0.427519,1.98144,
j,0.299989,-0.430538,-0.427523,1.98145,
j,0.299989,-0.430538,-0.427526,1.98147,
j,0.299989,-0.430538,-0.427529,1.98147,
j,0.299989,-0.430538,-0.427532,1.98148,
j,0.299989,-0.430538,-0.427534,1.98149,
j,0.299989,-0.430538,-0.427537,1.9815,
j,0.299989,-0.430538,-0.427539,1.9815,
j,0.299989,-0.430537,-0.427541,1.98151,
j,0.299989,-0.430537,-0.427544,1.98151,
j,0.299989,-0.430537,-0.427546,1.98152,
j,0.299989,-0.430537,-0.427548,1.98152,
j,0.299989,-0.430537,-0.42755,1.98152,
j,0.299989,-0.430537,-0.427552,1.98153,
j,0.299989,-0.430537,-0.427554,1.98153,
j,0.299989,-0.430537,-0.427556,1.98153,
j,0.299989,-0.430537,-0.427558,1.98153,
j,0.299989,-0.430537,-0.427559,1.98153,
j,0.299989,-0.430537,-0.427561,1.98154,
j,0.299989,-0.430537,-0.427563,1.98154,
j,0.299989,-0.430537,-0.427564,1.98154,
j,0.299989,-0.430537,-0.427566,1.98154,
j,0.299989,-0.430537,-0.427568,1.98154,
j,0.299989,-0.430537,-0.427569,1.98154,
j,0.299989,-0.430537,-0.427571,1.98154,
j,0.299989,-0.430537,-0.427572,1.98154,
j,0.299989,-0.430537,-0.427573,1.98154,
j,0.299989,-0.430537,-0.427575,1.98154,
j,0.299989,-0.430537,-0.427576,1.98154,
j,0.299989,-0.430537,-0.427577,1.98154,
j,0.299989,-0.430537,-0.427578,1.98154,
j,0.299989,-0.430537,-0.427579,1.98155,
j,0.299989,-0.430537,-0.427581,1.98155,
j,0.299989,-0.430537,-0.427582,1.98155,
j,0.299989,-0.430537,-0.427583,1.98155,
j,0.299989,-0.430537,-0.427584,1.98155,
j,0.299989,-0.430537,-0.427585,1.98155,
j,0.299989,-0.430537,-0.427586,1.98155,
j,0.299989,-0.430537,-0.427587,1.98155,
j,0.299989,-0.430537,-0.427588,1.98155,
j,0.299989,-0.430537,-0.427588,1.98155,
j,0.299989,-0.430536,-0.427589,1.98155,
j,0.299989,-0.430536,-0.42759,1.98155,
j,0.299989,-0.430536,-0.427591,1.98155,
j,0.299989,-0.430536,-0.427592,1.98155,
j,0.299989,-0.430536,-0.427592,1.98155,
j,0.299989,-0.430536,-0.427593,1.98155,
j,0.299989,-0.430536,-0.427594,1.98155,
j,0.299989,-0.430536,-0.427595,1.98155,
j,0.299989,-0.430536,-0.427595,1.98155,
j,0.299989,-0.430536,-0.427596,1.98155,
j,0.299989,-0.430536,-0.427597,1.98155,
j,0.299989,-0.430536,-0.427597,1.98156,
j,0.299989,-0.430536,-0.427598,1.98156,
j,0.299989,-0.430536,-0.427598,1.98156,
j,0.299989,-0.430536,-0.427599,1.98156,
j,0.299989,-0.430536,-0.427599,1.98156,
j,0.299989,-0.430536,-0.4276,1.98156,
j,0.299989,-0.430536,-0.427601,1.98156,
